PROTEIN_U,PROTEIN_V,CO_EXP
YBR146W,YDR347W,0.8751056560402036
YDR260C,YLR127C,0.0
YGR215W,YOR158W,0.7402951072694189
YJR113C,YMR188C,0.8410534532748428
YLR129W,YLR186W,0.9027617272557932
YGR165W,YOR158W,0.7827197173568361
YGL151W,YPR070W,0.0
YDR347W,YOR158W,0.775200975756632
YGR215W,YPL118W,0.8270678185498529
YJR113C,YOR158W,0.8097192862993841
YKL155C,YNL137C,0.6484483782571293
YCR071C,YLR439W,0.9233017590573589
YBR122C,YLR439W,0.8960582579740561
YLR147C,YLR275W,0.37378271979249217
YDR041W,YMR158W,0.9415727479951653
YCR071C,YKR085C,0.9304938709117739
YBL090W,YOR158W,0.7861490700462246
YKL155C,YPL013C,0.5703674046325581
YGR084C,YIL093C,0.8934774390964334
YER029C,YPL213W,0.22307883129844677
YDR237W,YMR024W,0.9436178530993834
YGL025C,YMR112C,0.16812295526874438
YPL013C,YPL118W,0.9201832497658923
YDR260C,YFR036W,0.712145605990937
YDR337W,YDR347W,0.9428948508697408
YGL151W,YMR112C,0.09110912002523919
YDR347W,YMR188C,0.8827545860208479
YGL151W,YNL236W,0.0
YCR081W,YDR443C,0.0
YCR071C,YKR006C,0.9520904047395947
YGR084C,YMR158W,0.8907858303486282
YDR260C,YGL240W,0.5133706946365882
YHR058C,YPR070W,0.0
YLR439W,YNL005C,0.8498796489619184
YBL090W,YDR347W,0.9413776525176372
YKL155C,YNR036C,0.23035018009287483
YBR122C,YDR322W,0.9381259157436574
YMR158W,YOR158W,0.7670034768616862
YGR084C,YKL155C,0.6530185994500592
YKL167C,YKR085C,0.9108814592533828
YNR036C,YOR158W,0.8558250894438191
YHR058C,YMR112C,0.0
YGR215W,YKL155C,0.6868068892136306
YNL137C,YPL118W,0.8317474430407825
YBR167C,YBR257W,0.2132872132075713
YER172C,YKL173W,0.331546119785865
YGL025C,YPR168W,0.18562114278485398
YMR213W,YPR101W,0.13899210565045667
YCR081W,YHR058C,0.0
YBR257W,YIR015W,0.0
YNL137C,YPL013C,0.8273223545149644
YCR071C,YDR322W,0.9358544326122538
YKR006C,YKR085C,0.9365488649319835
YDR337W,YNL137C,0.8448451922467055
YJL063C,YKR085C,0.926493542921113
YAL033W,YBL018C,0.2219191470329564
YHR058C,YPR168W,0.04030828447234555
YMR112C,YPR070W,0.0
YDR337W,YGR215W,0.8949598321837312
YCR046C,YDR116C,0.9208166856710283
YGL151W,YHR058C,0.0
YBR257W,YLR145W,0.22455951010834657
YBR122C,YCR071C,0.9102130149967348
YBR193C,YMR112C,0.39584266741001767
YDR337W,YPL013C,0.9201630428062922
YDR116C,YNL005C,0.8477271710373624
YDR175C,YGR165W,0.8910251225225101
YCR046C,YKR085C,0.9446922778197269
YDR347W,YGR084C,0.8877133761358362
YCR046C,YDR237W,0.9303251800926805
YBR122C,YNL252C,0.8486375232827998
YDR308C,YGL025C,0.0
YGR084C,YMR188C,0.8846317512387217
YKL155C,YMR158W,0.714678820971906
YDR337W,YGR084C,0.8996448852922311
YBR122C,YDR237W,0.9379985990245598
YGR165W,YPL013C,0.8778193729919019
YFR036W,YLR127C,0.0
YER172C,YHR165C,0.08904418929350516
YGL129C,YMR158W,0.9150785792276123
YJR101W,YNL137C,0.8495062192433191
YMR112C,YNR010W,0.08465800756784247
YBR167C,YIR015W,0.6250327802331467
YHR059W,YIL093C,0.9170436799768373
YGR215W,YJR101W,0.8215268796807518
YBR146W,YBR251W,0.8625775409162102
YMR158W,YNR036C,0.6575595707371225
YHR058C,YNR010W,0.3324418665139338
YCR071C,YNL252C,0.857838756998054
YDL209C,YMR213W,0.37714820454613307
YJR101W,YPL013C,0.8758904161978383
YCR081W,YPR070W,0.5688547543550692
YBR251W,YGL129C,0.9319607103463469
YDR337W,YMR158W,0.9500838419481171
YGR215W,YNR036C,0.6452481093905499
YMR188C,YPL013C,0.9151748464123906
YDR337W,YGR165W,0.943864139141518
YBR122C,YDR116C,0.9452860482422712
YDR347W,YNL306W,0.8756017372123558
YNL236W,YPR070W,0.31231545068028044
YMR158W,YPL118W,0.8714901351117929
YDR175C,YNR036C,0.7568013266313666
YDR260C,YOR249C,0.0
YCR081W,YDR308C,0.5672732601647721
YBL041W,YER094C,0.7220327676846747
YBL038W,YKR085C,0.9387579588104737
YDR041W,YGR165W,0.8832184870422747
YHR165C,YKL173W,0.0
YIR015W,YLR145W,0.0
YHR059W,YJR113C,0.8754480494226762
YDR175C,YNL137C,0.8915575743784664
YCR071C,YKL167C,0.8968483448717467
YDR347W,YNR036C,0.7145743822628017
YMR024W,YNL252C,0.9042559294556862
YBL090W,YGR084C,0.8932400652610405
YDR296W,YLR439W,0.9586980359391744
YPL151C,YPR101W,0.32568884984785795
YBR193C,YHR058C,0.0
YCR071C,YDR237W,0.9254983707020401
YDR337W,YNR036C,0.7221380868339318
YNR010W,YPR168W,0.4812576026245341
YNL236W,YPR168W,0.0
YMR158W,YPL013C,0.9225861790639591
YBR251W,YPL118W,0.8814480292206883
YBR251W,YDR041W,0.8335791863101243
YMR193W,YNL252C,0.9132726305206396
YIR025W,YLR127C,0.0
YMR188C,YNR036C,0.7376363193919956
YDR296W,YNL005C,0.8764334084160598
YCR071C,YMR024W,0.8929521165734676
YGR034W,YMR194W,0.0
YDR175C,YPL013C,0.8840810766487495
YNL137C,YOR158W,0.7552142101618782
YML049C,YMR288W,0.0
YDR308C,YMR112C,0.0
YDR322W,YKR085C,0.9674753843692293
YGR165W,YKL155C,0.6982864632659675
YHR148W,YLR129W,0.8724891756712304
YNL306W,YPL013C,0.8901998354441886
YDR116C,YML025C,0.9085235941526533
YBR193C,YNR010W,0.09455326195420917
YGL025C,YHR058C,0.17559781909342828
YHR148W,YIL019W,0.8634981060695135
YHR059W,YNR036C,0.7261376090653456
YDR175C,YGR215W,0.8411536249314546
YNL005C,YNL252C,0.8183407900747742
YBR251W,YDR175C,0.9294382598948074
YFR036W,YIR025W,0.1905704999839752
YBR146W,YMR158W,0.8820601158740168
YDR175C,YHR059W,0.9029796263541738
YKL167C,YLR439W,0.9267269844765728
YGL129C,YGR165W,0.9231447711978777
YBR251W,YKL155C,0.6793421019191564
YGL240W,YIR025W,0.3272048666399522
YBL090W,YNR036C,0.6968528110814581
YCR046C,YMR024W,0.9275175834168782
YJR113C,YMR158W,0.838842299004013
YBR251W,YMR188C,0.8900027327405071
YLR439W,YML025C,0.952238525381452
YMR158W,YMR188C,0.9385942417752768
YDR308C,YPR070W,0.2930990099347892
YGL240W,YLR127C,0.0
YDR118W,YDR260C,0.004378830667025681
YDR443C,YGL151W,0.2212478465508651
YLL036C,YPL213W,0.5178417332833434
YDR296W,YDR322W,0.9417644741628748
