PROTEIN_U,PROTEIN_V,PUBMED
YLL024C,YOR204W,19536198
YJL041W,YJL041W,19345193
YDL156W,YHR170W,22199229
YDL155W,YMR036C,20489023
YDR162C,YPR008W,19841731
YBL105C,YLR234W,16488395
YDL229W,YPR050C,19536198
YER125W,YKR021W,18976803
YER125W,YKR021W,20489023
YDR251W,YJL052W,16554755
YER125W,YKR021W,17551511
YPL031C,YPR119W,11160944
YDL040C,YJL179W,19536198
YAL059W,YDR373W,14690591
YCR024C,YPL227C,16093310
YEL061C,YHR064C,19536198
YHR158C,YHR158C,11087867
YHR158C,YHR158C,18467557
YDL014W,YOR206W,16554755
YDL014W,YOR206W,14759368
YAR002W,YGL122C,20823268
YHR158C,YHR158C,9786949
YBR221C,YFR004W,11805826
YER110C,YFL002C,21825077
YDL239C,YPL240C,15766533
YDL239C,YPL240C,19536198
YER112W,YLR275W,10900456
YER112W,YLR275W,16429126
YDR064W,YNR051C,20508643
YDR188W,YOR286W,19536198
YHR016C,YNL152W,14737190
YJR090C,YLR134W,11805837
YBL007C,YDL028C,19841731
YKL088W,YKL137W,14690591
YLR423C,YMR213W,18719252
YER048C,YHR167W,19536198
YER171W,YOR142W,11805837
YDR394W,YLR200W,19536198
YER036C,YGL158W,16319894
YBR088C,YMR167W,8858149
YJL176C,YOL069W,17634282
YDL101C,YDL200C,11805837
YJL164C,YKL146W,16319894
YGL179C,YMR081C,16319894
YIR010W,YKL060C,21107429
YIL093C,YMR022W,14690591
YEL030W,YLR115W,19536198
YBR106W,YJR118C,18467557
YBR279W,YNL251C,16246725
YIL048W,YNL297C,15314152
YFR002W,YKL057C,12496130
YBR135W,YLR109W,16554755
YDR392W,YGL158W,20489023
YLL024C,YPR028W,19536198
YBR110W,YLL028W,16093310
YBL017C,YBR207W,18467557
YDR306C,YPL240C,19536198
YJL004C,YLR083C,16093310
YMR022W,YMR125W,14690591
YIL055C,YPL115C,11805837
YGR058W,YNL047C,10688190
YER093C,YOR254C,19536198
YDL014W,YOR267C,20489023
YGR156W,YOR179C,16554755
YFR024C,YLR337C,19841731
YGL017W,YNL088W,16364307
YAL021C,YGR155W,11805837
YCL037C,YHL034C,16429126
YCR086W,YDR309C,14690591
YCR086W,YDR309C,11489916
YCR086W,YDR309C,10688190
YDR054C,YIL148W,16554755
YML062C,YOR244W,19303850
YEL077C,YNL064C,19536198
YEL030W,YJL011C,19536198
YMR196W,YNL020C,21460040
YDL156W,YKL196C,22199229
YNL209W,YPL216W,19536198
YHL007C,YHL024W,16319894
YHR052W,YNL182C,16429126
YGR156W,YOR179C,18342605
YGR156W,YOR179C,11805826
YGR156W,YOR179C,16429126
YBR194W,YLR196W,21386897
YDL156W,YLL001W,22199229
YAL005C,YGL045W,19536198
YKL168C,YNL307C,16319894
YDL229W,YOR315W,19536198
YGL133W,YIR010W,21107429
YER048C,YNL061W,19536198
YCR094W,YGL203C,18467557
YBR218C,YPL240C,19536198
YGR060W,YJR010C,16093310
YIL106W,YKL080W,20489023
YFR019W,YHR064C,19536198
YHR114W,YPL032C,19841731
YGL003C,YHR135C,16319894
YCL059C,YOR096W,15094838
YCL059C,YOR096W,16429126
YCL059C,YOR096W,12150911
YDL082W,YPR041W,16429126
YOR372C,YPR119W,14521842
YDR127W,YGR240C,16429126
YDR127W,YGR240C,11805826
YJR068W,YKL059C,14690591
YBR009C,YKL209C,22199229
YAR018C,YMR116C,11805826
YBL078C,YLL024C,19536198
YLR181C,YLR181C,20696398
YLR181C,YLR181C,16505166
YDL229W,YML074C,19536198
YGR105W,YHR007C,18467557
YPL049C,YPR082C,18719252
YOR096W,YOR340C,10791972
YDR427W,YLR386W,11595789
YDR247W,YLR384C,20489023
YAL005C,YDR505C,19536198
YDR328C,YLR058C,16432255
YER139C,YIL021W,19394294
YER139C,YIL021W,16429126
YDR088C,YLL024C,19536198
YDR202C,YDR328C,11283612
YDR202C,YDR328C,16429126
YOR184W,YPL031C,16319894
YGL039W,YPL106C,19536198
YJL140W,YJL168C,12736296
YHR135C,YML062C,16319894
YBR274W,YLR438W,14660704
YGR218W,YLR131C,18715118
YGR218W,YLR131C,18076379
YGR218W,YLR131C,11027275
YEL009C,YPL038W,10688190
YCL076W,YOR209C,11283351
YMR036C,YNL261W,17825065
YBR227C,YEL030W,19536198
YDL229W,YPL106C,19536198
YDL229W,YPL106C,16688211
YDL229W,YPL106C,16219770
YDL229W,YPL106C,16221677
YLR248W,YPL153C,17130285
YAR014C,YDR477W,16319894
YBR255W,YIL106W,11283351
YJL179W,YPL151C,19536198
YDR036C,YKL142W,18719252
YGL008C,YMR307W,21239492
YGL008C,YMR307W,21575114
YBR009C,YJL005W,22199229
YNL007C,YNL209W,19536198
YNR024W,YOR204W,18591258
YHR041C,YKL054C,16554755
YLL006W,YLR372W,16093310
YIL079C,YNR024W,18591258
YFL013C,YOR123C,20190278
YHR064C,YKL092C,19536198
YGL154C,YHR064C,19536198
YDR060W,YMR142C,16429126
YBR247C,YDR450W,12150911
YBR171W,YCL057W,11283351
YBR247C,YDR450W,16429126
YGL184C,YKL012W,16606443
YIR010W,YJL109C,21107429
YER151C,YKL152C,20508643
YER151C,YGL008C,20508643
YCR057C,YHR203C,16429126
YCR057C,YHR203C,12150911
YDL042C,YOR116C,16554755
YGR060W,YPR028W,16093310
YDR179C,YIL075C,21289098
YBR119W,YLR347C,21558325
YJR041C,YOR310C,21558325
YFL007W,YNL064C,19536198
YGR078C,YNL242W,19536198
YAL005C,YDR471W,19536198
YAL010C,YNL070W,21059357
YAL010C,YNL070W,21036907
YHR014W,YOR136W,11805837
YGL141W,YHR064C,19536198
YHR175W,YHR175W,18467557
YDL128W,YLR248W,16319894
YOR197W,YPL240C,20624963
YHR135C,YNL272C,16319894
YDR100W,YPL095C,18719252
YFR004W,YKR048C,20170199
YNL189W,YPL235W,16429126
YGL137W,YJL026W,11805837
YLL024C,YLR309C,19536198
YAL011W,YNL107W,19966225
YAL011W,YNL107W,14690608
YAL011W,YNL107W,15045029
YOR299W,YPR116W,14690591
YBL003C,YLL024C,19536198
YLR367W,YNL175C,16429126
YDL229W,YPL256C,19536198
YGL237C,YLR114C,18719252
YGL150C,YGR252W,21734642
YJR064W,YOR112W,19536198
YBR110W,YLR372W,16093310
YML065W,YMR005W,20595233
YDR164C,YLR208W,16554755
YJL008C,YOR272W,19536198
YGR192C,YNL209W,19536198
YDR075W,YNL201C,16554755
YER172C,YGR006W,10449419
YDR075W,YNL201C,16429126
YDR075W,YNL201C,17517611
YDR075W,YNL201C,11805826
YDR075W,YNL201C,16085932
YER095W,YJR009C,16554755
YDR075W,YNL201C,11805837
YBL003C,YKL144C,22199229
YBL039C,YJL030W,14660704
YDL099W,YOL100W,21460040
YIL027C,YMR272C,18467557
YJL050W,YOR204W,14759368
YMR139W,YPL106C,19536198
YDR061W,YJR017C,16606443
YDR390C,YKR002W,9236779
YDR128W,YJR138W,21454883
YJL008C,YJL168C,19536198
YNL110C,YPL043W,16429126
YNL110C,YPL043W,17922018
YNL110C,YPL043W,11805826
YHR079C,YPR156C,16319894
YGR097W,YPL240C,19536198
YBR112C,YHR206W,21552514
YIL142W,YPR181C,19536198
YDR099W,YER012W,11029046
YER013W,YML091C,22034500
YIL070C,YOR326W,16429126
YIL070C,YOR326W,11805826
YJR072C,YNL079C,21844196
YEL030W,YPL070W,19536198
YJL111W,YKL049C,21070971
YJR017C,YNR011C,16606443
YGR158C,YLR345W,11283351
YGR158C,YLR345W,10688190
YCR009C,YOR181W,15561700
YFR004W,YLR354C,20170199
YDR416W,YPR101W,11884590
YDR416W,YPR101W,11842115
YDR416W,YPR101W,19617314
YAL021C,YGR134W,16554755
YCR009C,YOR181W,21035341
YGR092W,YNL085W,20489023
YFR004W,YLR354C,16284124
YAL005C,YLR266C,19536198
YLR150W,YNL317W,16554755
YIL055C,YPL106C,19536198
YAL021C,YGR134W,16429126
YAL021C,YGR134W,18214544
YDL239C,YLR098C,10688190
YGR158C,YLR345W,18719252
YDL139C,YDR172W,16554755
YDL239C,YLR098C,18719252
YAL023C,YLR200W,19536198
YBR169C,YKL160W,19536198
YCR009C,YOR181W,10992286
YER133W,YPL211W,20489023
YFR004W,YLR354C,18757749
YGL234W,YLR369W,19536198
YAL021C,YGR134W,11805826
YAL021C,YGR134W,11733989
YAL005C,YDR103W,19536198
YDR485C,YJL014W,19536198
YHR121W,YPR152C,21386897
YKR016W,YLL024C,21944719
YKR016W,YLL024C,19536198
YGR133W,YHR083W,14690591
YDL229W,YDR115W,19536198
YHR197W,YNR053C,18559667
YER047C,YMR117C,17634282
YGL226C,YJL002C,12805367
YHR197W,YNR053C,16429126
YDL229W,YKR011C,19536198
YDR477W,YNL227C,16319894
YHR197W,YNR053C,19737519
YER112W,YOR039W,10688190
YGL137W,YIL143C,18467557
YGR135W,YPR103W,16554755
YGR135W,YPR103W,17892321
YGR135W,YPR103W,14759368
YGR135W,YPR103W,16429126
YGR135W,YPR103W,8628401
YGR252W,YPL031C,16319894
YDR533C,YOR323C,19536198
YHR197W,YNR053C,20542003
YGR178C,YLL024C,19536198
YIL084C,YJL036W,15263065
YFL010C,YPR054W,11283351
YER155C,YNL064C,19536198
YDR172W,YDR300C,11283351
YIR010W,YLR424W,14690591
YEL026W,YHR013C,16554755
YGL038C,YGL055W,16093310
YFL034W,YKL135C,16554755
YGL115W,YNL064C,19536198
YIL150C,YNL209W,19536198
YBL002W,YGR067C,11805837
YDR320C,YOR174W,19536198
YBR010W,YLR182W,22199229
YBR009C,YBR261C,22199229
YDR328C,YKL152C,16432255
YDR531W,YDR531W,18719252
YDR531W,YDR531W,14690591
YKL012W,YNL220W,16606443
YER164W,YGR252W,15647753
YBR189W,YDR533C,19536198
YJL044C,YMR218C,11805837
YHR200W,YIR026C,18757749
YDR037W,YHR200W,18757749
YBL009W,YGR090W,20489023
YLL031C,YLR350W,18467557
YOR181W,YPL074W,21035341
YHR120W,YJL008C,19536198
YNL124W,YPL178W,21558325
YGL111W,YKR081C,11805826
YGL111W,YKR081C,16429126
YDR172W,YNL084C,16382152
YLR153C,YNL178W,16429126
YGL111W,YKR081C,18559667
YMR109W,YMR109W,19841731
YMR109W,YMR109W,18467557
YMR109W,YMR109W,20647997
YDR432W,YKL049C,21070971
YGR091W,YPR178W,16554755
YBR087W,YDR171W,16554755
YBR087W,YDR171W,19536198
YDR235W,YLL036C,11804584
YNL178W,YNL308C,16429126
YMR022W,YPL053C,14690591
YAL005C,YGR294W,19536198
YER131W,YFL002C,21825077
YGR091W,YPR178W,16429126
YGR091W,YPR178W,11805826
YAL005C,YJL102W,16429126
YFL034W,YPL110C,11805837
YER114C,YMR124W,19841731
YDL138W,YPR077C,10688190
YAL005C,YJL102W,19536198
YBR236C,YGR063C,12556496
YLL052C,YPL106C,19536198
YMR109W,YMR109W,11743162
YER054C,YML016C,10790385
YDL137W,YFR004W,20170199
YOR294W,YPR115W,20489023
YBR079C,YKR063C,22083961
YML065W,YPR190C,20595233
YKL059C,YPR107C,12819204
YKL059C,YPR107C,11805826
YKL059C,YPR107C,16429126
YKL059C,YPR107C,16554755
YKL145W,YPL235W,18757749
YBR283C,YGL051W,16093310
YBR017C,YGL122C,18532879
YBR017C,YGL122C,11805837
YBR017C,YGL122C,16554755
YBR017C,YGL122C,14759368
YBR017C,YGL122C,11805826
YBR017C,YGL122C,10506153
YBR017C,YGL122C,9632798
YBR017C,YGL122C,9488461
YBR017C,YGL122C,15894541
YGL051W,YHR082C,16319894
YER019W,YPL106C,19536198
YDL229W,YHR040W,19536198
YHR165C,YLL024C,19536198
YLR258W,YPL031C,20489023
YLR258W,YPL031C,10490639
YLR258W,YPL031C,10874034
YLR258W,YPL031C,18719252
YLR258W,YPL031C,9584169
YAL034W,YER018C,14633972
YAL034W,YER018C,18286174
YAL034W,YER018C,14565975
YOR140W,YOR140W,12024012
YLR274W,YNL273W,15755447
YLR274W,YNL273W,19106085
YER164W,YML069W,16554755
YER164W,YML069W,14759368
YER164W,YML069W,12682017
YER164W,YML069W,12242279
YGR052W,YNL186W,16319894
YBR186W,YLR032W,18719252
YJL050W,YMR304W,11805826
YJL050W,YML010W,12556496
YER048C,YPL106C,19536198
YDL028C,YOR257W,20368617
YDL028C,YOR257W,20489023
YDL028C,YOR257W,21700874
YDL229W,YKR074W,19536198
YDR477W,YGL208W,16554755
YDR477W,YGL208W,11805837
YDR477W,YGL208W,10688190
YDR477W,YGL208W,9121458
YDR477W,YGL208W,21906795
YDR477W,YGL208W,20529674
YDR477W,YGL208W,15719021
YDR477W,YGL208W,18719252
YDR477W,YGL208W,16429126
YDR477W,YGL208W,20489023
YDR477W,YGL208W,7813428
YDR477W,YGL208W,11805826
YDR171W,YDR495C,19536198
YFL005W,YGR009C,21119007
YFL005W,YGR009C,16390997
YER126C,YGL237C,11805837
YJR065C,YKL013C,10377407
YJR065C,YKL013C,16554755
YJR065C,YKL013C,11805826
YJR065C,YKL013C,16429126
YJR065C,YKL013C,9210376
YAL005C,YDR190C,19536198
YKL086W,YML028W,14586471
YDR184C,YLR433C,10102375
YER082C,YLL011W,18467557
YLR190W,YPL031C,16554755
YIR010W,YJL081C,21107429
YFL014W,YOR117W,19536198
YER096W,YHR114W,11283351
YJL143W,YJL143W,15878866
YLR044C,YPL106C,19536198
YIL010W,YPL106C,19536198
YDL229W,YGR284C,19536198
YDL229W,YLR407W,19536198
YLR190W,YPL031C,20489023
YER110C,YOR185C,10617640
YNL039W,YNL209W,19536198
YCL016C,YHL023C,11283351
YPL071C,YPL106C,19536198
YFR028C,YNL161W,17892321
YFR028C,YNL161W,20489023
YDR299W,YJL179W,19536198
YJL190C,YMR125W,16429126
YBR019C,YLR170C,16554755
YFL039C,YHR200W,18757749
YJL154C,YOR132W,16554755
YBR079C,YNL243W,11302750
YBR214W,YFR040W,18467557
YDL192W,YDR264C,18467557
YAL032C,YBL084C,12554883
YNL227C,YNL273W,19536198
YFR004W,YOR369C,20170199
YBR251W,YIL093C,16554755
YBR251W,YIL093C,16429126
YBR251W,YIL093C,11805826
YBR146W,YOL027C,16476776
YKR081C,YNL248C,21926967
YDL229W,YIL173W,19536198
YMR229C,YNL299W,16554755
YDR337W,YPL013C,16429126
YML048W,YNL101W,16093310
YJL154C,YOR132W,18467557
YJL154C,YOR132W,9700157
YJL154C,YOR132W,17892535
YJL154C,YOR132W,17696874
YDR181C,YMR127C,15659401
YDR181C,YMR127C,11731479
YDR181C,YMR127C,11731480
YDR181C,YMR127C,16554755
YDR181C,YMR127C,12626510
YIL021W,YOR151C,18467557
YNR003C,YOR116C,16554755
YNR003C,YOR116C,14759368
YBL058W,YNL155W,18719252
YBL058W,YNL155W,16554755
YNR003C,YOR116C,11805826
YBL007C,YER151C,19841731
YAL005C,YJL006C,16429126
YFR022W,YJR010C,16554755
YDR320C,YHR196W,19536198
YIL021W,YOR151C,16554755
YDL239C,YIL144W,17634282
YDR285W,YPL106C,19536198
YIL126W,YPL106C,19536198
YNL287W,YPL106C,19536198
YNL007C,YOR057W,19536198
YBR009C,YMR273C,22199229
YDL134C,YJR045C,19536198
YKR101W,YLL024C,19536198
YGL111W,YHR052W,18559667
YGL111W,YHR052W,16429126
YAR018C,YAR018C,11283351
YDR005C,YDR335W,18445601
YDR267C,YJL056C,14690591
YBL084C,YDR311W,16429126
YDR320C,YOR157C,19536198
YER165W,YOR098C,11387327
YFR014C,YMR116C,21460040
YDR181C,YMR127C,15788653
YFL002C,YLR439W,21825077
YDL229W,YLR335W,19536198
YDL229W,YLR335W,11387327
YDL229W,YLL015W,19536198
YIL021W,YOR151C,14759368
YIL021W,YOR151C,8631896
YIL021W,YOR151C,11805826
YNR003C,YOR116C,16429126
YER164W,YMR072W,16554755
YIL021W,YOR151C,19394294
YAL005C,YLR145W,19536198
YIL021W,YOR151C,10784442
YAL005C,YLR221C,19536198
YER006W,YLR090W,19536198
YHR200W,YKL182W,18757749
YJR022W,YLR275W,16554755
YOL077C,YOR272W,16429126
YOL077C,YOR272W,16287855
YDR045C,YDR224C,22199229
YLR097C,YLR097C,14747994
YDR395W,YGR119C,11387327
YDR064W,YDR510W,15590687
YEL009C,YPR025C,17919657
YGR123C,YKL117W,18719252
YGR123C,YKL117W,15633294
YGL103W,YKL014C,15226434
YEL005C,YGR107W,11283351
YDL064W,YLR032W,12226657
YER006W,YNL284C,11805826
YER018C,YNL097C,17634282
YBR185C,YLR439W,21670217
YBR185C,YLR439W,20404317
YHR089C,YJR022W,11805837
YER151C,YPL231W,20508643
YER125W,YNR011C,16606443
YGR239C,YMR267W,18719252
YGR239C,YMR267W,11283351
YDR087C,YIL131C,11805837
YDR148C,YMR308C,10688190
YAL005C,YGL137W,19536198
YNL064C,YOR017W,19536198
YGR285C,YHR010W,16429126
YAR007C,YDR129C,16554755
YBR106W,YDR414C,16093310
YMR047C,YNR053C,10684247
YBL030C,YOR271C,18779372
YIL035C,YPL042C,20489023
YOR310C,YPL131W,12150911
YHR135C,YOL091W,16319894
YNL107W,YNL209W,15485911
YBL075C,YMR023C,19536198
YDR171W,YMR186W,19536198
YDL229W,YPL031C,19536198
YHR099W,YMR227C,12052880
YKR036C,YPL042C,11113136
YGL030W,YOR117W,18757749
YDL156W,YGR099W,22199229
YGL120C,YNL113W,16227579
YLR450W,YOL113W,11805837
YHR039C,YLR350W,18467557
YER148W,YGL112C,8340360
YER148W,YGL112C,16429126
YER148W,YGL112C,8083216
YER148W,YGL112C,10788514
YER148W,YGL112C,10783167
YER148W,YGL112C,9844639
YER148W,YGL112C,12052880
YER148W,YGL112C,8662725
YER148W,YGL112C,7667272
YER148W,YGL112C,11805826
YDL229W,YPR141C,19536198
YBR106W,YJL196C,16093310
YDR239C,YJL164C,16319894
YCR008W,YGL106W,16554755
YDR188W,YDR212W,18511909
YDL229W,YPL266W,19536198
YJL151C,YJL154C,18467557
YDR303C,YMR033W,14759368
YDR303C,YMR033W,16554755
YDR303C,YMR033W,14729968
YDR303C,YMR033W,16429126
YBR169C,YFL008W,19536198
YPR152C,YPR160W,16606443
YER067W,YNL161W,21460040
YBL075C,YBR287W,19536198
YFR024C,YGL104C,11743162
YBR055C,YMR105C,11805837
YDR448W,YKR057W,21734642
YGR113W,YMR117C,12925767
YDL014W,YNL308C,16554755
YHR117W,YKL117W,21777812
YBR272C,YDL229W,19536198
YJL034W,YLL034C,19536198
YAL005C,YDR225W,19536198
YFL016C,YPR161C,19536198
YDR188W,YNL209W,18511909
YNL045W,YPL031C,16319894
YDL130W,YJL173C,11283351
YDL028C,YIL149C,21700874
YJR043C,YLL026W,19536198
YLL024C,YNL320W,19536198
YJL088W,YOR117W,18757749
YDR363W,YLL024C,19536198
YNL064C,YPR106W,21460040
YDR457W,YNL209W,19536198
YDL014W,YNL308C,11027267
YDR283C,YML010W,16554755
YDR359C,YDR533C,19536198
YGR005C,YOR224C,16429126
YBR274W,YBR274W,10660074
YBR138C,YGR198W,14690591
YLR089C,YLR259C,19536198
YLR089C,YLR259C,16554755
YKL117W,YOR386W,21777812
YBR281C,YIL173W,16554755
YDL156W,YPR029C,22199229
YOR206W,YPL240C,19536198
YHR064C,YMR237W,19536198
YNR050C,YOR270C,16429126
YBL036C,YDR343C,11805837
YDR013W,YDR489W,10688190
YDR013W,YDR489W,16531994
YDR013W,YDR489W,12730134
YDR013W,YDR489W,14690591
YDR013W,YDR489W,11283351
YHR027C,YPR108W,16554755
YDR170C,YOR104W,18467557
YHR027C,YPR108W,19446323
YBL085W,YNL007C,19536198
YHR027C,YPR108W,16429126
YGL049C,YJR076C,11805837
YDR171W,YNL088W,19536198
YJL030W,YPR029C,14660704
YPR025C,YPR056W,16554755
YGR024C,YHR115C,14690591
YJR082C,YPL106C,19536198
YDL190C,YMR276W,15652483
YDL190C,YMR276W,16338354
YDL190C,YMR276W,18719252
YDL190C,YMR276W,20427284
YDL190C,YMR276W,16427015
YDL190C,YMR276W,11805837
YJL002C,YLR378C,15831493
YOR307C,YPL106C,19536198
YPR025C,YPR056W,8657139
YEL030W,YER095W,19536198
YLR216C,YOR220W,11805837
YBR081C,YBR154C,21734642
YBR289W,YML065W,20595233
YLR137W,YPL106C,19536198
YDL229W,YPR030W,19536198
YHR064C,YOR034C,19536198
YNL127W,YNL209W,19536198
YPR025C,YPR056W,19818408
YBL050W,YDR189W,20826334
YBL050W,YDR189W,11805826
YDL087C,YKL173W,11805826
YDL087C,YKL173W,16429126
YFR014C,YLR059C,16319894
YGR040W,YMR319C,11805837
YDR328C,YPL256C,9346238
YDR328C,YPL256C,9819356
YDR328C,YPL256C,15200949
YDR443C,YGL151W,16429126
YMR022W,YNL210W,14690591
YDR468C,YDR468C,12006655
YGL158W,YPR010C,20489023
YJR045C,YLR399C,19536198
YER157W,YPR105C,16554755
YER157W,YPR105C,16429126
YER157W,YPR105C,15932880
YER157W,YPR105C,12011112
YER157W,YPR105C,11733049
YML042W,YPL240C,15766533
YMR154C,YNL007C,19536198
YKL142W,YMR243C,10688190
YBR193C,YGR116W,16554755
YDL144C,YLL024C,19536198
YIL027C,YNL064C,19536198
YHR114W,YLR024C,19841731
YER133W,YLR277C,16429126
YER133W,YLR277C,16137619
YER133W,YLR277C,11841235
YGL090W,YOR061W,11805837
YBR251W,YPL013C,11805826
YBR251W,YPL013C,16429126
YER133W,YLR277C,11805826
YGL061C,YLR045C,17634282
YDL229W,YNL152W,19536198
YLR262C,YOR370C,18467557
YLR262C,YOR370C,18719252
YBR156C,YFR028C,14605209
YBR156C,YFR028C,22078879
YBR156C,YFR028C,21127052
YBR156C,YFR028C,16176976
YJR098C,YPL106C,19536198
YHR064C,YJR148W,19536198
YIL133C,YPL093W,16888624
YDR359C,YJL008C,19536198
YDR385W,YFR034C,14660704
YMR117C,YPL016W,17634282
YDR148C,YMR012W,11805826
YDL003W,YJL074C,16554755
YDL003W,YJL074C,11983169
YDL003W,YJL074C,17660750
YDL003W,YJL074C,14614819
YDL003W,YJL074C,20498298
YDL003W,YJL074C,14614818
YDL003W,YJL074C,21441928
YDL003W,YJL074C,11805826
YDL003W,YJL074C,20153193
YDL003W,YJL074C,17055978
YDR170C,YJL091C,14690591
YMR227C,YPL011C,16554755
YMR227C,YPL011C,12052880
YMR227C,YPL011C,12215531
YDL003W,YJL074C,11805837
YDL003W,YJL074C,9990856
YDL003W,YJL074C,12654244
YDL003W,YJL074C,14613943
YDL003W,YJL074C,15229615
YGR262C,YLR438W,11805837
YPR101W,YPR182W,11805826
YPR101W,YPR182W,11884590
YNL104C,YPR106W,21460040
YBR137W,YOR164C,20850366
YKL183W,YNL104C,10688190
YER125W,YPR187W,20489023
YER125W,YPR187W,11805837
YLR114C,YMR186W,19536198
YLR423C,YMR059W,18719252
YDR178W,YLL041C,22152483
YKR081C,YLR427W,11805837
YIL139C,YPL194W,16169844
YBR171W,YPL076W,16093310
YNL116W,YNL154C,16319894
YHR082C,YNL027W,16319894
YLR187W,YPL106C,19536198
YER162C,YIL142W,19536198
YDL175C,YMR303C,11805837
YBR009C,YGR275W,21749977
YBR009C,YGR275W,16554755
YBR009C,YGR275W,22199229
YLR167W,YML065W,20595233
YDL087C,YDR080W,11805826
YFL002C,YOR201C,21825077
YDL229W,YIL070C,19536198
YOR213C,YPL106C,19536198
YLR249W,YNL250W,16554755
YBR125C,YPL240C,19536198
YBR010W,YER177W,18268010
YDL215C,YLL001W,18467557
YKR101W,YNL216W,11157772
YJR051W,YLR432W,16429126
YDL084W,YDR143C,21211726
YBL007C,YJL095W,16319894
YDR178W,YPL132W,16093310
YCR082W,YLL024C,19536198
YIR010W,YMR116C,21107429
YBL085W,YFR034C,19841731
YDR101C,YMR308C,16554755
YDR533C,YML100W,19536198
YDR145W,YOL086C,21734642
YJR006W,YOL100W,21460040
YDR101C,YMR308C,16651379
YJL008C,YLR369W,19536198
YDR365C,YOL041C,11805837
YKL057C,YMR153W,18046405
YDL055C,YFR040W,16429126
YDR101C,YMR308C,12374754
YBL085W,YER158C,19841731
YBL085W,YER158C,14737190
YBL085W,YER158C,11743162
YDR192C,YPL093W,11387327
YJR066W,YKL171W,20489023
YHL034C,YJL190C,16429126
YCL027W,YLL021W,15020407
YDL229W,YDR017C,19536198
YFL002C,YLR300W,21825077
YML020W,YMR106C,11805837
YGR020C,YLL039C,15699485
YOR273C,YPL240C,19536198
YER068W,YOR362C,21321079
YGR055W,YLR219W,18467557
YAL029C,YDR448W,10319811
YKL012W,YNR033W,16606443
YBL039C,YMR223W,21734642
YDR363W,YMR186W,19536198
YBR034C,YOL123W,11101900
YBR034C,YOL123W,9499403
YBR034C,YOL123W,12756332
YBR034C,YOL123W,10652296
YLR274W,YOR080W,11805837
YHR086W,YPR182W,16554755
YHR086W,YPR182W,21558325
YDR477W,YFR034C,14660704
YDL065C,YKR046C,21748599
YGL180W,YNL027W,16319894
YBL021C,YDL229W,19536198
YGR058W,YLR113W,10688190
YER082C,YNL154C,16319894
YAL042W,YDL097C,16554755
YAL005C,YLR005W,19536198
YDL210W,YDL212W,16093310
YLR345W,YMR261C,18467557
YLR141W,YML065W,20595233
YDR224C,YLR141W,22199229
YAL005C,YNL229C,21078122
YBR160W,YJR076C,17765684
YNL227C,YOL004W,19536198
YDL025C,YJR129C,21460040
YGL150C,YML065W,20595233
YLR196W,YOR267C,20489023
YER059W,YNL007C,19536198
YER149C,YLL021W,16554755
YER149C,YLL021W,9632790
YER149C,YLL021W,21502521
YGR090W,YGR145W,11805826
YGR090W,YGR145W,12150911
YGR090W,YGR145W,16429126
YFR004W,YPL031C,20170199
YER148W,YHR099W,12052880
YFL038C,YNL209W,19536198
YBR160W,YNL309W,12832490
YBR160W,YNL309W,21658602
YER151C,YGL106W,16554755
YOL126C,YPL240C,19536198
YER151C,YGL106W,20508643
YAL016W,YML063W,16429126
YBR160W,YNL309W,10409718
YBR160W,YNL309W,14690591
YBR160W,YNL309W,10688190
YMR229C,YPL106C,19536198
YBR160W,YNL309W,14574415
YGR264C,YNL007C,19536198
YBR275C,YNL064C,19536198
YIR010W,YPR133C,21107429
YFR024C,YFR040W,19841731
YNL110C,YPL266W,17922018
YLR015W,YPL240C,19536198
YHR007C,YML008C,16300994
YDL156W,YPL014W,22199229
YBR118W,YDL207W,18046405
YDL160C,YNL147W,16554755
YDL160C,YNL147W,18467557
YDL160C,YNL147W,11805826
YDL160C,YNL147W,16429126
YJL036W,YPL106C,19536198
YDR188W,YDR429C,19536198
YCR012W,YOR254C,19536198
YPL004C,YPL150W,11805837
YDR510W,YGL103W,15590687
YHL030W,YPL131W,21321079
YCR057C,YLR409C,12150911
YCR057C,YLR409C,16554755
YCR057C,YLR409C,14759368
YCR057C,YLR409C,18725399
YCR057C,YLR409C,18467557
YCR057C,YLR409C,16429126
YGL120C,YNL209W,19536198
YCR057C,YLR409C,11805826
YDL006W,YNL307C,16319894
YAL005C,YJL168C,19536198
YBL075C,YGL155W,19536198
YDL229W,YOR272W,19536198
YIL046W,YIL159W,14690591
YBL004W,YCR057C,21724601
YBL004W,YCR057C,16429126
YBL004W,YCR057C,12150911
YBL004W,YCR057C,11805826
YBR072W,YJL047C,16554755
YNR051C,YOR198C,20508643
YBR072W,YJL047C,19536198
YJR104C,YPL031C,11805837
YJL203W,YPL178W,21558325
YGL048C,YOR257W,18160718
YJR077C,YMR186W,16429126
YNL163C,YNL209W,19536198
YCR057C,YLR409C,15231838
YCR057C,YLR409C,21724601
YNL064C,YOR151C,19536198
YML095C,YMR201C,8621533
YIL117C,YKL092C,10688190
YIL051C,YIL051C,21600990
YHL004W,YNL007C,19536198
YHR170W,YMR080C,10445880
YHR170W,YMR080C,10471698
YGL120C,YOR341W,16227579
YDR473C,YGR075C,16429126
YBR010W,YKR031C,22199229
YML012W,YPL218W,12426381
