PROTEIN_U,PROTEIN_V,PUBMED
YLR014C,YML023C,14690591
YAL034W,YJL057C,16319894
YJR091C,YKL204W,20705650
YJR001W,YNR075W,16093310
YBR052C,YDR497C,18467557
YPL022W,YPL106C,19536198
YHR142W,YLR372W,16093310
YEL002C,YML115C,11805837
YDL229W,YDR250C,19536198
YGR227W,YLL016W,19841731
YBR090C,YNL209W,19536198
YDR041W,YKL155C,16429126
YDR041W,YKL155C,16554755
YDR041W,YKL155C,11278769
YDR174W,YML065W,20595233
YBR058C,YOL006C,16554755
YBR194W,YNL172W,21386897
YJR063W,YNL113W,16554755
YER133W,YOR178C,11459182
YDR087C,YDR087C,15100437
YIL105C,YLR332W,18467557
YBR010W,YHR064C,19536198
YMR022W,YPR094W,14690591
YDR320C,YGL150C,19536198
YGR185C,YMR158W,16554755
YER133W,YOR178C,8289829
YBR270C,YNL154C,16319894
YJR063W,YNL113W,11805837
YER133W,YOR178C,8754819
YLL033W,YNL180C,10688190
YGR017W,YMR022W,14690591
YER133W,YOR178C,20489023
YER133W,YOR178C,9584086
YER133W,YOR178C,10790385
YLR175W,YNL248C,21558325
YER133W,YOR178C,11412094
YGR252W,YMR236W,21734642
YBL007C,YPL084W,19841731
YGL105W,YLR247C,16554755
YKL073W,YOR098C,19536198
YGR252W,YMR236W,16554755
YDL229W,YIL035C,19536198
YBR052C,YGR065C,18467557
YJL167W,YOR117W,18757749
YMR304W,YNL313C,11805826
YBR009C,YOR116C,22199229
YGR024C,YMR268C,14690591
YCR086W,YDR335W,17634282
YJL033W,YMR142C,16429126
YER090W,YFR004W,20170199
YIR010W,YOR304W,21107429
YER090W,YFR004W,18757749
YER125W,YML098W,15448131
YBL076C,YHR027C,18757749
YGR252W,YMR236W,9885573
YBL104C,YEL062W,21454883
YGR252W,YMR236W,14660704
YFL028C,YPL106C,19536198
YEL020W,YKR016W,21944719
YHR007C,YNL070W,16093310
YBR034C,YER037W,14690591
YDR099W,YDR328C,16432255
YDR088C,YPL178W,21558325
YMR243C,YNL153C,19536198
YBL044W,YMR304W,11805826
YJL057C,YLR315W,21460040
YGR252W,YMR236W,16429126
YGR252W,YMR236W,12052880
YDR091C,YML063W,16429126
YBL014C,YBL014C,8887672
YBR069C,YDL015C,16093310
YKR016W,YOR222W,21944719
YDR091C,YML063W,15660134
YJL179W,YJR089W,19536198
YMR079W,YOR117W,18757749
YBR237W,YMR125W,17922018
YAR008W,YMR059W,9200603
YLR150W,YLR330W,16429126
YNL251C,YOR151C,16427013
YAL005C,YGL122C,19536198
YDR064W,YKL139W,16429126
YJL164C,YLR098C,16319894
YMR128W,YPR137W,12150911
YMR128W,YPR137W,16429126
YDR171W,YGR180C,19536198
YDL229W,YOR307C,19536198
YEL058W,YFR004W,18757749
YEL058W,YFR004W,20170199
YKL023W,YPL106C,19536198
YHR200W,YNL067W,18757749
YHR200W,YNL067W,17499717
YGL139W,YLL024C,19536198
YLL024C,YMR282C,19536198
YGR270W,YJL008C,19536198
YDL115C,YOR151C,16554755
YBR194W,YIL035C,21386897
YLR196W,YLR449W,16429126
YHR152W,YMR186W,19536198
YAL005C,YMR029C,19536198
YER048C,YLR015W,19536198
YLR196W,YLR449W,11805826
YNL183C,YNL183C,18621925
YNL183C,YNL183C,18980262
YDR017C,YDR099W,16554755
YDR017C,YDR099W,10688190
YJL184W,YML036W,16554755
YJL184W,YML036W,16564010
YJL184W,YML036W,20489023
YDL229W,YDR169C,19536198
YDL115C,YOR151C,16429126
YDL115C,YOR151C,21504834
YNL053W,YOR257W,20489023
YOR117W,YPR010C,18757749
YPL269W,YPL269W,10982392
YER148W,YMR186W,16554755
YER148W,YMR186W,15766533
YBL085W,YHL007C,16319894
YBL085W,YHL007C,11489916
YAR014C,YDL070W,19841731
YKL041W,YPR173C,19234443
YBR169C,YPL173W,19536198
YGR002C,YPL106C,19536198
YAL040C,YJL013C,10688190
YBL021C,YBR072W,19536198
YLL024C,YMR308C,19536198
YLL024C,YMR308C,21482668
YCL043C,YDL229W,19536198
YDL063C,YDR381W,10688190
Q0085,YER154W,17344477
Q0085,YER154W,11250894
YFR004W,YKL210W,18757749
YFR004W,YKL210W,20170199
YML085C,YPL269W,20598539
YMR109W,YOL028C,19841731
YLR002C,YMR186W,19536198
YLR197W,YML012W,16554755
YBL003C,YML065W,19106085
YBL003C,YML065W,20595233
YDL229W,YHR106W,19536198
YDR267C,YGL254W,14690591
YJL141C,YML078W,21460040
YDL159W,YLR113W,20489023
YGR085C,YNL061W,16429126
YNL189W,YNL282W,16429126
YBL092W,YER151C,20508643
YBR010W,YHR090C,17142463
YHR200W,YJR065C,18757749
YGL137W,YHR027C,18757749
YBL023C,YPL001W,11805826
YIR005W,YMR288W,16314500
YCL059C,YCR057C,12150911
YCL059C,YCR057C,11805826
YBR010W,YHR090C,16728974
YCL059C,YCR057C,16429126
YCL028W,YNR051C,20508643
