ID interactor A	ID interactor B	Alt. ID interactor A	Alt. ID interactor B	Alias(es) interactor A	Alias(es) interactor B	Interaction detection method(s)	Publication 1st author(s)	Publication Identifier(s)	Taxid interactor A	Taxid interactor B	Interaction type(s)	Source database(s)	Interaction identifier(s)	Confidence value(s)	Processing Status	
DIP-3026N|refseq:NP_014084|uniprotkb:P32453	DIP-3028N|refseq:NP_012655|uniprotkb:P00830	 -	-	-	-	MI:0004(affinity chromatography technology)|MI:0018(two hybrid)	-	pubmed:1532796|pubmed:DIP-1064S|pubmed:10681564|pubmed:DIP-1070S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-4298E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)		-
DIP-3033N|refseq:NP_010665|uniprotkb:Q06405	DIP-3034N|refseq:NP_013629|uniprotkb:P81450	 -	-	-	-	MI:0030(cross-linking study)	-	pubmed:10747812|pubmed:DIP-1069S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0407(direct interaction)	MI:0465(dip)	DIP-4299E	dip-quality-status:core	dip:0002(small scale)		-
DIP-1207N|refseq:NP_015345|uniprotkb:Q12233	DIP-3034N|refseq:NP_013629|uniprotkb:P81450	 -	-	-	-	MI:0030(cross-linking study)	-	pubmed:10747812|pubmed:DIP-1069S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0407(direct interaction)	MI:0465(dip)	DIP-4300E	dip-quality-status:core	dip:0002(small scale)		-
DIP-2947N|refseq:NP_009444|uniprotkb:P38163	DIP-551N|refseq:NP_012231|uniprotkb:P07278	 -	-	-	-	MI:0018(two hybrid)|MI:0018(two hybrid)	-	pubmed:11489916|pubmed:DIP-1223S|pubmed:10688190|pubmed:DIP-513S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-4007E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-2951N|refseq:NP_013908|uniprotkb:P39926	DIP-1196N|refseq:NP_012041|uniprotkb:P38862	 -	-	-	-	MI:0018(two hybrid)|MI:0018(two hybrid)	-	pubmed:11489916|pubmed:DIP-1223S|pubmed:10688190|pubmed:DIP-513S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-4015E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-1188N|refseq:NP_014313|uniprotkb:P48232	DIP-667N|refseq:NP_009898|uniprotkb:P25344	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:10688190|pubmed:DIP-513S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)	MI:0465(dip)	DIP-4046E	dip-quality-status:	dip:0005(high throughput)		-
DIP-893N|refseq:NP_013835|uniprotkb:Q04477	DIP-893N|refseq:NP_013835|uniprotkb:Q04477	-	-	-	-	MI:0018(two hybrid)	-	pubmed:11087867|pubmed:DIP-1054S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)	MI:0465(dip)	DIP-4112E	dip-quality-status:	dip:0005(high throughput)		-
DIP-2890N|refseq:NP_012616|uniprotkb:P47129	DIP-2890N|refseq:NP_012616|uniprotkb:P47129	-	-	-	-	MI:0018(two hybrid)	-	pubmed:11087867|pubmed:DIP-1054S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)	MI:0465(dip)	DIP-4186E	dip-quality-status:	dip:0005(high throughput)		-
DIP-3025N|refseq:NP_009453|uniprotkb:P07251	DIP-2985N|refseq:NP_010100|uniprotkb:P01097	 -	-	-	-	MI:0404(comigration in non denaturing gel electrophoresis)	-	pubmed:9867807|pubmed:DIP-1068S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)	MI:0465(dip)	DIP-4275E	dip-quality-status:core	dip:0002(small scale)		-
DIP-1473N|refseq:NP_015151|uniprotkb:P33420	DIP-2947N|refseq:NP_009444|uniprotkb:P38163	 -	-	-	-	MI:0018(two hybrid)|MI:0018(two hybrid)	-	pubmed:11489916|pubmed:DIP-1223S|pubmed:10688190|pubmed:DIP-513S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-4005E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-2276N|refseq:NP_014101|uniprotkb:P48562	DIP-1517N|refseq:NP_013598|uniprotkb:P54786	 -	-	-	-	MI:0018(two hybrid)|MI:0018(two hybrid)	-	pubmed:10688190|pubmed:DIP-513S|pubmed:11489916|pubmed:DIP-1223S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-4065E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-2961N|refseq:NP_015205|uniprotkb:Q02948	DIP-2244N|refseq:NP_011734|uniprotkb:P30822	 -	-	-	-	MI:0398(two hybrid pooling approach)|MI:0018(two hybrid)	-	pubmed:11283351|pubmed:DIP-1102S|pubmed:11027275|pubmed:DIP-1053S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0915(physical association)|MI:0218(physical interaction)	MI:0465(dip)	DIP-4089E	dip-quality-status:core	dip:0005(high throughput)|dip:0002(small scale)		-
DIP-2982N|refseq:NP_116647|uniprotkb:P32908	DIP-2983N|refseq:NP_116687|uniprotkb:P38989	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:11087867|pubmed:DIP-1054S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)	MI:0465(dip)	DIP-4096E	dip-quality-status:	dip:0005(high throughput)		-
DIP-2991N|refseq:NP_012461|uniprotkb:P47037	DIP-2991N|refseq:NP_012461|uniprotkb:P47037	-	-	-	-	MI:0018(two hybrid)	-	pubmed:11087867|pubmed:DIP-1054S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)	MI:0465(dip)	DIP-4182E	dip-quality-status:	dip:0005(high throughput)		-
DIP-3025N|refseq:NP_009453|uniprotkb:P07251	DIP-3032N|refseq:NP_010280|uniprotkb:Q12165	 -	-	-	-	MI:0404(comigration in non denaturing gel electrophoresis)	-	pubmed:9867807|pubmed:DIP-1068S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)	MI:0465(dip)	DIP-4264E	dip-quality-status:core	dip:0002(small scale)		-
DIP-3037N|refseq:NP_010584|uniprotkb:P09457	DIP-3025N|refseq:NP_009453|uniprotkb:P07251	 -	-	-	-	MI:0404(comigration in non denaturing gel electrophoresis)	-	pubmed:9867807|pubmed:DIP-1068S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)	MI:0465(dip)	DIP-4270E	dip-quality-status:core	dip:0002(small scale)		-
DIP-2947N|refseq:NP_009444|uniprotkb:P38163	DIP-2698N|refseq:NP_013307|uniprotkb:Q05785	 -	-	-	-	MI:0018(two hybrid)|MI:0018(two hybrid)	-	pubmed:10688190|pubmed:DIP-513S|pubmed:11489916|pubmed:DIP-1223S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-4002E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-667N|refseq:NP_009898|uniprotkb:P25344	DIP-1681N|refseq:NP_010704|uniprotkb:Q04048	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:10688190|pubmed:DIP-513S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)	MI:0465(dip)	DIP-4035E	dip-quality-status:	dip:0005(high throughput)		-
DIP-1517N|refseq:NP_013598|uniprotkb:P54786	DIP-2750N|refseq:NP_009397|uniprotkb:P39703	 -	-	-	-	MI:0018(two hybrid)|MI:0018(two hybrid)	-	pubmed:11489916|pubmed:DIP-1223S|pubmed:10688190|pubmed:DIP-513S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-4067E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-2985N|refseq:NP_010100|uniprotkb:P01097	DIP-2984N|refseq:NP_011603|uniprotkb:P53253	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:11087867|pubmed:DIP-1054S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)	MI:0465(dip)	DIP-4106E	dip-quality-status:	dip:0005(high throughput)		-
DIP-2644N|refseq:NP_012980|uniprotkb:P36022	DIP-1403N|refseq:NP_012028|uniprotkb:P38853	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:11087867|pubmed:DIP-1054S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)	MI:0465(dip)	DIP-4131E	dip-quality-status:	dip:0005(high throughput)		-
DIP-2419N|refseq:NP_014149|uniprotkb:P12753	DIP-1481N|refseq:NP_014572|uniprotkb:P33895	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:11087867|pubmed:DIP-1054S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)	MI:0465(dip)	DIP-4201E	dip-quality-status:	dip:0005(high throughput)		-
DIP-2984N|refseq:NP_011603|uniprotkb:P53253	DIP-1461N|refseq:NP_010430|uniprotkb:P08153	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:11087867|pubmed:DIP-1054S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)	MI:0465(dip)	DIP-4228E	dip-quality-status:	dip:0005(high throughput)		-
DIP-3028N|refseq:NP_012655|uniprotkb:P00830	DIP-2985N|refseq:NP_010100|uniprotkb:P01097	 -	-	-	-	MI:0404(comigration in non denaturing gel electrophoresis)	-	pubmed:9867807|pubmed:DIP-1068S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)	MI:0465(dip)	DIP-4289E	dip-quality-status:core	dip:0002(small scale)		-
DIP-3038N|refseq:NP_009313|uniprotkb:P00854	DIP-3025N|refseq:NP_009453|uniprotkb:P07251	 -	-	-	-	MI:0404(comigration in non denaturing gel electrophoresis)	-	pubmed:9867807|pubmed:DIP-1068S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)	MI:0465(dip)	DIP-4271E	dip-quality-status:core	dip:0002(small scale)		-
DIP-2949N|refseq:NP_011966|uniprotkb:P38810	DIP-2947N|refseq:NP_009444|uniprotkb:P38163	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:10688190|pubmed:DIP-513S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)	MI:0465(dip)	DIP-4006E	dip-quality-status:	dip:0005(high throughput)		-
DIP-667N|refseq:NP_009898|uniprotkb:P25344	DIP-1634N|refseq:NP_015508|uniprotkb:P54999	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:10688190|pubmed:DIP-513S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)	MI:0465(dip)	DIP-4032E	dip-quality-status:	dip:0005(high throughput)		-
DIP-2244N|refseq:NP_011734|uniprotkb:P30822	DIP-2973N|refseq:NP_012668|uniprotkb:P47166	 -	-	-	-	MI:0018(two hybrid)|MI:0398(two hybrid pooling approach)	-	pubmed:11027275|pubmed:DIP-1053S|pubmed:11283351|pubmed:DIP-1102S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)|MI:0915(physical association)	MI:0465(dip)	DIP-4080E	dip-quality-status:core	dip:0002(small scale)|dip:0005(high throughput)		-
DIP-1481N|refseq:NP_014572|uniprotkb:P33895	DIP-2982N|refseq:NP_116647|uniprotkb:P32908	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:11087867|pubmed:DIP-1054S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)	MI:0465(dip)	DIP-4094E	dip-quality-status:	dip:0005(high throughput)		-
DIP-2982N|refseq:NP_116647|uniprotkb:P32908	DIP-893N|refseq:NP_013835|uniprotkb:Q04477	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:11087867|pubmed:DIP-1054S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)	MI:0465(dip)	DIP-4116E	dip-quality-status:	dip:0005(high throughput)		-
DIP-2722N|refseq:NP_013533|uniprotkb:Q06440	DIP-868N|refseq:NP_009352|uniprotkb:P39723	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:11087867|pubmed:DIP-1054S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)	MI:0465(dip)	DIP-4128E	dip-quality-status:	dip:0005(high throughput)		-
DIP-3001N|refseq:NP_010184|uniprotkb:Q12191	DIP-3001N|refseq:NP_010184|uniprotkb:Q12191	-	-	-	-	MI:0018(two hybrid)	-	pubmed:11087867|pubmed:DIP-1054S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)	MI:0465(dip)	DIP-4157E	dip-quality-status:	dip:0005(high throughput)		-
DIP-2260N|refseq:NP_010795|uniprotkb:Q12263	DIP-1481N|refseq:NP_014572|uniprotkb:P33895	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:11087867|pubmed:DIP-1054S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)	MI:0465(dip)	DIP-4161E	dip-quality-status:	dip:0005(high throughput)		-
DIP-3008N|refseq:NP_012569|uniprotkb:P40352	DIP-2220N|refseq:NP_014315|uniprotkb:P39013	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:11087867|pubmed:DIP-1054S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)	MI:0465(dip)	DIP-4184E	dip-quality-status:	dip:0005(high throughput)		-
DIP-2419N|refseq:NP_014149|uniprotkb:P12753	DIP-2982N|refseq:NP_116647|uniprotkb:P32908	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:11087867|pubmed:DIP-1054S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)	MI:0465(dip)	DIP-4200E	dip-quality-status:	dip:0005(high throughput)		-
DIP-3017N|refseq:NP_012646|uniprotkb:P47149	DIP-3018N|refseq:NP_010434|uniprotkb:Q00402	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:11087867|pubmed:DIP-1054S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)	MI:0465(dip)	DIP-4236E	dip-quality-status:	dip:0005(high throughput)		-
DIP-3025N|refseq:NP_009453|uniprotkb:P07251	DIP-3040N|refseq:NP_009312|uniprotkb:P00856	 -	-	-	-	MI:0404(comigration in non denaturing gel electrophoresis)	-	pubmed:9867807|pubmed:DIP-1068S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)	MI:0465(dip)	DIP-4273E	dip-quality-status:core	dip:0002(small scale)		-
DIP-3028N|refseq:NP_012655|uniprotkb:P00830	DIP-3029N|refseq:NP_010609|uniprotkb:P81449	 -	-	-	-	MI:0404(comigration in non denaturing gel electrophoresis)	-	pubmed:9867807|pubmed:DIP-1068S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)	MI:0465(dip)	DIP-4290E	dip-quality-status:core	dip:0002(small scale)		-
DIP-2947N|refseq:NP_009444|uniprotkb:P38163	DIP-2080N|refseq:NP_011688|uniprotkb:P53039	 -	-	-	-	MI:0018(two hybrid)|MI:0018(two hybrid)	-	pubmed:11489916|pubmed:DIP-1223S|pubmed:10688190|pubmed:DIP-513S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-4008E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-893N|refseq:NP_013835|uniprotkb:Q04477	DIP-1498N|refseq:NP_013291|uniprotkb:Q06324	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:11087867|pubmed:DIP-1054S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)	MI:0465(dip)	DIP-4113E	dip-quality-status:	dip:0005(high throughput)		-
DIP-2644N|refseq:NP_012980|uniprotkb:P36022	DIP-893N|refseq:NP_013835|uniprotkb:Q04477	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:11087867|pubmed:DIP-1054S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)	MI:0465(dip)	DIP-4118E	dip-quality-status:	dip:0005(high throughput)		-
DIP-2446N|refseq:NP_012882|uniprotkb:P36094	DIP-2446N|refseq:NP_012882|uniprotkb:P36094	-	-	-	-	MI:0018(two hybrid)	-	pubmed:11087867|pubmed:DIP-1054S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)	MI:0465(dip)	DIP-4188E	dip-quality-status:	dip:0005(high throughput)		-
DIP-3028N|refseq:NP_012655|uniprotkb:P00830	DIP-3031N|refseq:NP_015052|uniprotkb:P21306	 -	-	-	-	MI:0404(comigration in non denaturing gel electrophoresis)	-	pubmed:9867807|pubmed:DIP-1068S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)	MI:0465(dip)	DIP-4277E	dip-quality-status:core	dip:0002(small scale)		-
DIP-2607N|refseq:NP_015504|uniprotkb:P20053	DIP-2751N|refseq:NP_011757|uniprotkb:P53309	 -	-	-	-	MI:0398(two hybrid pooling approach)	-	pubmed:11283351|pubmed:DIP-1102S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0915(physical association)	MI:0465(dip)	DIP-5771E	dip-quality-status:	dip:0005(high throughput)		-
DIP-2793N|refseq:NP_015498|uniprotkb:Q06608	DIP-3803N|refseq:NP_012935|uniprotkb:Q02208	 -	-	-	-	MI:0398(two hybrid pooling approach)	-	pubmed:11283351|pubmed:DIP-1102S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0915(physical association)	MI:0465(dip)	DIP-5776E	dip-quality-status:	dip:0005(high throughput)		-
DIP-1745N|refseq:NP_015323|uniprotkb:Q12483	DIP-701N|refseq:NP_015411|uniprotkb:P29055	 -	-	-	-	MI:0398(two hybrid pooling approach)	-	pubmed:11283351|pubmed:DIP-1102S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0915(physical association)	MI:0465(dip)	DIP-5807E	dip-quality-status:	dip:0005(high throughput)		-
DIP-701N|refseq:NP_015411|uniprotkb:P29055	DIP-3857N|refseq:NP_012456|uniprotkb:P47032	 -	-	-	-	MI:0398(two hybrid pooling approach)	-	pubmed:11283351|pubmed:DIP-1102S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0915(physical association)	MI:0465(dip)	DIP-5848E	dip-quality-status:	dip:0005(high throughput)		-
DIP-701N|refseq:NP_015411|uniprotkb:P29055	DIP-3862N|refseq:NP_011906|uniprotkb:P38772	 -	-	-	-	MI:0398(two hybrid pooling approach)	-	pubmed:11283351|pubmed:DIP-1102S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0915(physical association)	MI:0465(dip)	DIP-5858E	dip-quality-status:	dip:0005(high throughput)		-
DIP-2584N|refseq:NP_010740|uniprotkb:Q04119	DIP-701N|refseq:NP_015411|uniprotkb:P29055	 -	-	-	-	MI:0398(two hybrid pooling approach)	-	pubmed:11283351|pubmed:DIP-1102S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0915(physical association)	MI:0465(dip)	DIP-5881E	dip-quality-status:	dip:0005(high throughput)		-
DIP-3898N|uniprotkb:Q07829	DIP-1636N|refseq:NP_015379|uniprotkb:P41808	 -	-	-	-	MI:0398(two hybrid pooling approach)	-	pubmed:11283351|pubmed:DIP-1102S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0915(physical association)	MI:0465(dip)	DIP-5914E	dip-quality-status:	dip:0005(high throughput)		-
DIP-714N|refseq:NP_009537|uniprotkb:P16892	DIP-3928N|refseq:NP_012038|uniprotkb:P38860	 -	-	-	-	MI:0398(two hybrid pooling approach)	-	pubmed:11283351|pubmed:DIP-1102S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0915(physical association)	MI:0465(dip)	DIP-5947E	dip-quality-status:	dip:0005(high throughput)		-
DIP-3938N|refseq:NP_010617|uniprotkb:Q06682	DIP-2633N|refseq:NP_009519|uniprotkb:P38198	 -	-	-	-	MI:0398(two hybrid pooling approach)	-	pubmed:11283351|pubmed:DIP-1102S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0915(physical association)	MI:0465(dip)	DIP-5956E	dip-quality-status:	dip:0005(high throughput)		-
DIP-3970N|refseq:NP_013764|uniprotkb:Q04660	DIP-1666N|refseq:NP_015110|uniprotkb:P41835	 -	-	-	-	MI:0398(two hybrid pooling approach)	-	pubmed:11283351|pubmed:DIP-1102S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0915(physical association)	MI:0465(dip)	DIP-5993E	dip-quality-status:	dip:0005(high throughput)		-
DIP-1265N|refseq:NP_014419|uniprotkb:P53724	DIP-1750N|refseq:NP_009364|uniprotkb:P39729	 -	-	-	-	MI:0398(two hybrid pooling approach)	-	pubmed:11283351|pubmed:DIP-1102S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0915(physical association)	MI:0465(dip)	DIP-5762E	dip-quality-status:	dip:0005(high throughput)		-
DIP-701N|refseq:NP_015411|uniprotkb:P29055	DIP-3851N|refseq:NP_013693|uniprotkb:Q03723	 -	-	-	-	MI:0398(two hybrid pooling approach)	-	pubmed:11283351|pubmed:DIP-1102S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0915(physical association)	MI:0465(dip)	DIP-5837E	dip-quality-status:	dip:0005(high throughput)		-
DIP-2387N|refseq:NP_014022|uniprotkb:P36224	DIP-3890N|refseq:NP_015408|uniprotkb:Q06820	 -	-	-	-	MI:0398(two hybrid pooling approach)	-	pubmed:11283351|pubmed:DIP-1102S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0915(physical association)	MI:0465(dip)	DIP-5903E	dip-quality-status:	dip:0005(high throughput)		-
DIP-3959N|refseq:NP_013733|uniprotkb:P50264	DIP-3958N|refseq:NP_015080|uniprotkb:Q12520	 -	-	-	-	MI:0398(two hybrid pooling approach)	-	pubmed:11283351|pubmed:DIP-1102S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0915(physical association)	MI:0465(dip)	DIP-5981E	dip-quality-status:	dip:0005(high throughput)		-
DIP-2216N|refseq:NP_009376|uniprotkb:P39524	DIP-993N|refseq:NP_015179|uniprotkb:Q12080	 -	-	-	-	MI:0398(two hybrid pooling approach)	-	pubmed:11283351|pubmed:DIP-1102S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0915(physical association)	MI:0465(dip)	DIP-5754E	dip-quality-status:	dip:0005(high throughput)		-
DIP-1681N|refseq:NP_010704|uniprotkb:Q04048	DIP-2774N|refseq:NP_009370|uniprotkb:P28004	 -	-	-	-	MI:0398(two hybrid pooling approach)|MI:0676(tandem affinity purification)	-	pubmed:11283351|pubmed:DIP-1102S|pubmed:11805826|pubmed:DIP-1768S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-5755E	dip-quality-status:	dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-2774N|refseq:NP_009370|uniprotkb:P28004	DIP-1500N|refseq:NP_013449|uniprotkb:Q06137	 -	-	-	-	MI:0018(two hybrid)|MI:0398(two hybrid pooling approach)	-	pubmed:10688190|pubmed:DIP-513S|pubmed:11283351|pubmed:DIP-1102S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)|MI:0915(physical association)	MI:0465(dip)	DIP-5756E	dip-quality-status:	dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-2774N|refseq:NP_009370|uniprotkb:P28004	DIP-1490N|refseq:NP_013527|uniprotkb:Q06410	 -	-	-	-	MI:0398(two hybrid pooling approach)	-	pubmed:11283351|pubmed:DIP-1102S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0915(physical association)	MI:0465(dip)	DIP-5757E	dip-quality-status:	dip:0005(high throughput)		-
DIP-2774N|refseq:NP_009370|uniprotkb:P28004	DIP-2021N|refseq:NP_014679|uniprotkb:P32854	 -	-	-	-	MI:0398(two hybrid pooling approach)	-	pubmed:11283351|pubmed:DIP-1102S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0915(physical association)	MI:0465(dip)	DIP-5758E	dip-quality-status:	dip:0005(high throughput)		-
DIP-2931N|refseq:NP_012649|uniprotkb:P47152	DIP-3789N|refseq:NP_009369|uniprotkb:P28005	 -	-	-	-	MI:0398(two hybrid pooling approach)	-	pubmed:11283351|pubmed:DIP-1102S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0915(physical association)	MI:0465(dip)	DIP-5759E	dip-quality-status:	dip:0005(high throughput)		-
DIP-3791N|refseq:NP_013342|uniprotkb:Q06538	DIP-3790N|refseq:NP_009365|uniprotkb:P39730	 -	-	-	-	MI:0398(two hybrid pooling approach)	-	pubmed:11283351|pubmed:DIP-1102S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0915(physical association)	MI:0465(dip)	DIP-5760E	dip-quality-status:	dip:0005(high throughput)		-
