ID interactor A	ID interactor B	Alt. ID interactor A	Alt. ID interactor B	Alias(es) interactor A	Alias(es) interactor B	Interaction detection method(s)	Publication 1st author(s)	Publication Identifier(s)	Taxid interactor A	Taxid interactor B	Interaction type(s)	Source database(s)	Interaction identifier(s)	Confidence value(s)	Processing Status	
DIP-696N|refseq:NP_009670|uniprotkb:P14922	DIP-665N|refseq:NP_011480|uniprotkb:P27705	 -	-	-	-	MI:0018(two hybrid)|MI:0018(two hybrid)	-	pubmed:7705659|pubmed:DIP-836S|pubmed:7724528|pubmed:DIP-417S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-68E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)		-
DIP-376N|refseq:NP_010457|uniprotkb:P05453	DIP-376N|refseq:NP_010457|uniprotkb:P05453	-	-	-	-	MI:0872(atomic force microscopy)|MI:0007(anti tag coimmunoprecipitation)|MI:0017(classical fluorescence spectroscopy)|MI:0872(atomic force microscopy)|MI:0028(cosedimentation in solution)|MI:0017(classical fluorescence spectroscopy)|MI:0808(comigration in sds page)|MI:0077(nuclear magnetic resonance)|MI:0077(nuclear magnetic resonance)|MI:0020(transmission electron microscopy)	-	pubmed:19114662|pubmed:DIP-12652S|pubmed:21423195|pubmed:DIP-14632S|pubmed:17767153|pubmed:DIP-15968S|pubmed:17767153|pubmed:DIP-15968S|pubmed:19114662|pubmed:DIP-12652S|pubmed:21423194|pubmed:DIP-14631S|pubmed:19114662|pubmed:DIP-12652S|pubmed:21423194|pubmed:DIP-14631S|pubmed:17767153|pubmed:DIP-15968S|pubmed:19706519|pubmed:DIP-14364S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0407(direct interaction)|MI:0915(physical association)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)	MI:0465(dip)	DIP-100E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)		-
DIP-376N|refseq:NP_010457|uniprotkb:P05453	DIP-800N|refseq:NP_009701|uniprotkb:P12385	 -	-	-	-	MI:0018(two hybrid)|MI:0013(biophysical)|MI:0019(coimmunoprecipitation)|MI:0676(tandem affinity purification)|MI:0676(tandem affinity purification)	-	pubmed:7556078|pubmed:DIP-397S|pubmed:7556078|pubmed:DIP-397S|pubmed:7556078|pubmed:DIP-397S|pubmed:11805826|pubmed:DIP-1768S|pubmed:11805826|pubmed:DIP-1768S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-103E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-1102N|refseq:NP_010432|uniprotkb:P19262	DIP-41N|refseq:NP_116635|uniprotkb:P09624	 -	-	-	-	MI:0401(biochemical)|MI:0013(biophysical)|MI:0029(cosedimentation through density gradient)|MI:0401(biochemical)|MI:0676(tandem affinity purification)	-	pubmed:8575446|pubmed:DIP-434S|pubmed:8575446|pubmed:DIP-434S|pubmed:2072900|pubmed:DIP-2179S|pubmed:8575446|pubmed:DIP-434S|pubmed:11805826|pubmed:DIP-1768S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0915(physical association)	MI:0465(dip)	DIP-123E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0005(high throughput)		-
DIP-365N|refseq:NP_012141|uniprotkb:P20967	DIP-1102N|refseq:NP_010432|uniprotkb:P19262	 -	-	-	-	MI:0013(biophysical)|MI:0676(tandem affinity purification)|MI:0676(tandem affinity purification)	-	pubmed:8575446|pubmed:DIP-434S|pubmed:11805826|pubmed:DIP-1768S|pubmed:11805826|pubmed:DIP-1768S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)|MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-124E	dip-quality-status:core	dip:0002(small scale)|dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-744N|refseq:NP_009684|uniprotkb:Q00764	DIP-823N|refseq:NP_010359|uniprotkb:P31688	 -	-	-	-	MI:0018(two hybrid)|MI:0676(tandem affinity purification)	-	pubmed:9194697|pubmed:DIP-343S|pubmed:11805826|pubmed:DIP-1768S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)|MI:0915(physical association)	MI:0465(dip)	DIP-126E	dip-quality-status:core	dip:0002(small scale)|dip:0005(high throughput)		-
DIP-744N|refseq:NP_009684|uniprotkb:Q00764	DIP-753N|refseq:NP_013608|uniprotkb:P38427	 -	-	-	-	MI:0018(two hybrid)|MI:0676(tandem affinity purification)	-	pubmed:9194697|pubmed:DIP-343S|pubmed:11805826|pubmed:DIP-1768S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)|MI:0915(physical association)	MI:0465(dip)	DIP-128E	dip-quality-status:core	dip:0002(small scale)|dip:0005(high throughput)		-
DIP-823N|refseq:NP_010359|uniprotkb:P31688	DIP-891N|refseq:NP_013988|uniprotkb:P38426	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:9194697|pubmed:DIP-343S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)	MI:0465(dip)	DIP-129E	dip-quality-status:core	dip:0002(small scale)		-
DIP-823N|refseq:NP_010359|uniprotkb:P31688	DIP-753N|refseq:NP_013608|uniprotkb:P38427	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:9194697|pubmed:DIP-343S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)	MI:0465(dip)	DIP-130E	dip-quality-status:core	dip:0002(small scale)		-
DIP-25N|refseq:NP_012903|uniprotkb:P09798	DIP-970N|refseq:NP_014227|uniprotkb:P53886	 -	-	-	-	MI:0019(coimmunoprecipitation)|MI:0019(coimmunoprecipitation)|MI:0676(tandem affinity purification)|MI:0676(tandem affinity purification)|MI:0676(tandem affinity purification)|MI:0676(tandem affinity purification)|MI:0096(pull down)|MI:0676(tandem affinity purification)|MI:0096(pull down)	-	pubmed:9469814|pubmed:DIP-498S|pubmed:8895471|pubmed:DIP-435S|pubmed:21107322|pubmed:DIP-14770S|pubmed:21186364|pubmed:DIP-14614S|pubmed:21107322|pubmed:DIP-14770S|pubmed:21186364|pubmed:DIP-14614S|pubmed:21107322|pubmed:DIP-14770S|pubmed:21186364|pubmed:DIP-14614S|pubmed:21107322|pubmed:DIP-14770S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-133E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)		-
