CO_EXP,GO_CC,GO_BP,GO_MF,REL,TOPO,TOPO_L2,STRING,CO_OCCUR,ITER
0.0025539358612149954,0.17326311767101288,0.054765503853559494,0.013991091400384903,0.19155359268188477,0.06145452335476875,0.013514119200408459,0.4313325881958008,0.05757147818803787,0
0.004577379208058119,0.37985339760780334,0.08264206349849701,0.01788165047764778,0.11203823238611221,0.048533614724874496,0.010309922508895397,0.3078696131706238,0.036294125020504,1
0.002684927312657237,0.2718052566051483,0.030455773696303368,0.013343469239771366,0.07377129793167114,0.09961569309234619,0.026489753276109695,0.4021827280521393,0.07965107262134552,2
0.024304522201418877,0.3384394645690918,0.021107083186507225,0.2031201422214508,0.07494881004095078,0.05516858771443367,0.016161561012268066,0.2161932736635208,0.050556570291519165,3
0.005883798003196716,0.3910350203514099,0.033839356154203415,0.010140525177121162,0.0776786133646965,0.12846408784389496,0.019755465909838676,0.2891107201576233,0.04409240558743477,4
0.0036691040731966496,0.25421756505966187,0.05096733197569847,0.03983473405241966,0.18242500722408295,0.04844395071268082,0.008249260485172272,0.35426944494247437,0.057923559099435806,5
0.005261803977191448,0.3283436596393585,0.07124830782413483,0.023759813979268074,0.11890537291765213,0.10019749402999878,0.04860146716237068,0.25996509194374084,0.04371700808405876,6
0.006312007550150156,0.3616243898868561,0.016164423897862434,0.3382730185985565,0.06252682209014893,0.020254407078027725,0.0037642261013388634,0.13167624175548553,0.05940438434481621,7
0.04830729961395264,0.40919163823127747,0.015170653350651264,0.26348334550857544,0.06367609649896622,0.023374635726213455,0.006061334628611803,0.09713492542505264,0.07360010594129562,8
0.004804081283509731,0.4043790400028229,0.027509503066539764,0.3842155635356903,0.04169148951768875,0.012084822170436382,0.001576449372805655,0.09434641152620316,0.0293926689773798,9
