YBR146W	YGL129C	0.9454
YDR041W	YKL155C	0.9445
YDR041W	YGL129C	0.942
YBL090W	YNL306W	0.9396
YIL093C	YJR113C	0.9382
YDR041W	YDR337W	0.9373
YBR146W	YDR041W	0.9359
YGL129C	YKL155C	0.9357
YDR041W	YJR101W	0.9354
YBR146W	YJR101W	0.935
YGL129C	YPL118W	0.9332
YJR101W	YJR113C	0.9324
YBR146W	YPL118W	0.9315
YDR337W	YKL155C	0.9286
YIL093C	YJR101W	0.928
YBR146W	YKL155C	0.928
YDR041W	YPL118W	0.9264
YJR101W	YKL155C	0.9255
YDR041W	YNL306W	0.9252
YGL129C	YJR101W	0.9251
YDR175C	YIL093C	0.9244
YDR116C	YDR322W	0.9239
YBL090W	YJR113C	0.9235
YDR041W	YDR175C	0.9234
YDR337W	YGL129C	0.9232
YDR175C	YJR113C	0.9223
YDR322W	YLR439W	0.9217
YDR041W	YOR158W	0.9215
YBR146W	YDR175C	0.9213
YDR175C	YJR101W	0.9203
YDR041W	YMR188C	0.92
YBR146W	YDR337W	0.92
YDR175C	YDR337W	0.92
YDR237W	YLR439W	0.9194
YDR116C	YLR439W	0.9193
YMR188C	YNL306W	0.9183
YDR337W	YJR101W	0.918
YDR041W	YJR113C	0.9179
YDR237W	YDR322W	0.9174
YKL167C	YKR006C	0.9171
YDR175C	YKL155C	0.9164
YDR175C	YNL306W	0.9156
YKL155C	YPL118W	0.9154
YDR337W	YNL306W	0.9151
YBL090W	YDR041W	0.9144
YBL090W	YDR175C	0.9142
YBL090W	YMR188C	0.9142
YKL155C	YOR158W	0.9138
YDR041W	YIL093C	0.9137
YIL093C	YPL118W	0.9136
YCR046C	YNL252C	0.9135
YGL129C	YOR158W	0.9128
YBL090W	YDR337W	0.9125
YBR146W	YJR113C	0.9125
YKL155C	YNL306W	0.9124
YDR175C	YGL129C	0.9122
YDR116C	YDR237W	0.9116
YDR347W	YIL093C	0.9113
YJR101W	YPL118W	0.9109
YDR337W	YJR113C	0.9109
YJR113C	YNL306W	0.9103
YKL155C	YMR188C	0.91
YGL129C	YNL306W	0.9099
YBR146W	YNR036C	0.9095
YGL129C	YMR188C	0.9094
YBR146W	YIL093C	0.909
YDR175C	YOR158W	0.9089
YDR322W	YMR024W	0.9089
YDR175C	YPL118W	0.9083
YJR101W	YNR036C	0.908
YCR071C	YDR116C	0.9075
YDR175C	YMR188C	0.9073
YDR337W	YMR188C	0.9072
YBL090W	YIL093C	0.9071
YDR337W	YPL118W	0.907
YDR337W	YOR158W	0.9064
YMR188C	YPL118W	0.9063
YDR347W	YJR101W	0.9061
YOR158W	YPL118W	0.9058
YBR146W	YOR158W	0.9054
YMR112C	YPR168W	0.9053
YBR146W	YNL306W	0.9049
YDR322W	YNL252C	0.9047
YGL129C	YJR113C	0.9046
YJR113C	YKL155C	0.9046
YJR101W	YOR158W	0.9044
YJR101W	YNL306W	0.9041
YBL090W	YGL129C	0.904
YBL090W	YKL155C	0.9038
YJR113C	YPL118W	0.9036
YMR188C	YOR158W	0.9033
YDR347W	YPL118W	0.9031
YBR146W	YMR188C	0.9029
YBL090W	YPL118W	0.9024
YDR041W	YDR347W	0.9023
YDR347W	YJR113C	0.902
YGL129C	YIL093C	0.9013
YJR101W	YMR188C	0.9011
YIL093C	YKL155C	0.9009
YPR070W	YPR168W	0.9008
YDR322W	YNL005C	0.9006
YGL129C	YNL137C	0.9005
YJR113C	YNR036C	0.9005
YGL129C	YGR084C	0.9004
YGL129C	YNR036C	0.9003
YGL129C	YPL013C	0.9002
YCR046C	YDR322W	0.9001
YDR237W	YNL005C	0.9
YGL129C	YGR215W	0.9
YGL077C	YGR055W	0.8986
YBL090W	YBR146W	0.8974
YDR337W	YIL093C	0.897
YDR237W	YNL252C	0.897
YIL093C	YMR188C	0.8966
YNR036C	YPL118W	0.8965
YDR237W	YDR296W	0.8965
YBL090W	YJR101W	0.896
YIL093C	YNR036C	0.8955
YBR146W	YNL137C	0.8951
YDR116C	YNL252C	0.895
YBR146W	YGR215W	0.895
YGR084C	YPL118W	0.895
YDR308C	YPR168W	0.8949
YNL306W	YPL118W	0.8948
YIL093C	YOR158W	0.8946
YDL209C	YPR101W	0.8945
YCR081W	YPR168W	0.8944
YDR041W	YPL013C	0.8944
YIL093C	YNL306W	0.8941
YGL151W	YPR168W	0.8941
YBR146W	YPL013C	0.894
YDR260C	YIR025W	0.8923
YGR084C	YJR101W	0.8922
YDR041W	YNL137C	0.8922
YDR347W	YGL129C	0.8922
YDR041W	YGR084C	0.8922
YDR041W	YNR036C	0.8921
YBR146W	YGR084C	0.8916
YLR439W	YNL252C	0.8916
YGR084C	YNR036C	0.8912
YDR347W	YKL155C	0.8912
YCR081W	YGL151W	0.891
YDR116C	YMR024W	0.891
YDR175C	YDR347W	0.8909
YGR084C	YJR113C	0.8909
YLR439W	YMR024W	0.8902
YCR081W	YMR112C	0.8902
YCR046C	YLR439W	0.8893
YKR085C	YNL252C	0.8892
YNL306W	YOR158W	0.8887
YHR148W	YLR186W	0.8886
YDR041W	YGR215W	0.8882
YBR146W	YDR347W	0.8882
YDR260C	YLR127C	0.8882
YGR215W	YOR158W	0.8881
YJR113C	YMR188C	0.888
YLR129W	YLR186W	0.8873
YGR165W	YOR158W	0.8868
YGL151W	YPR070W	0.8866
YDR347W	YOR158W	0.8865
YGR215W	YPL118W	0.8862
YJR113C	YOR158W	0.886
YKL155C	YNL137C	0.8858
YCR071C	YLR439W	0.8858
YBR122C	YLR439W	0.8857
YLR147C	YLR275W	0.8854
YDR041W	YMR158W	0.8854
YCR071C	YKR085C	0.8853
YBL090W	YOR158W	0.8853
YKL155C	YPL013C	0.8852
YGR084C	YIL093C	0.8852
YER029C	YPL213W	0.8849
YDR237W	YMR024W	0.8847
YGL025C	YMR112C	0.8847
YPL013C	YPL118W	0.8844
YDR260C	YFR036W	0.8842
YDR337W	YDR347W	0.8842
YGL151W	YMR112C	0.8841
YDR347W	YMR188C	0.8839
YGL151W	YNL236W	0.8838
YCR081W	YDR443C	0.8838
YCR071C	YKR006C	0.8834
YGR084C	YMR158W	0.8833
YDR260C	YGL240W	0.8832
YHR058C	YPR070W	0.8831
YLR439W	YNL005C	0.8829
YBL090W	YDR347W	0.8827
YKL155C	YNR036C	0.8826
YBR122C	YDR322W	0.8821
YMR158W	YOR158W	0.8819
YGR084C	YKL155C	0.8818
YKL167C	YKR085C	0.8816
YNR036C	YOR158W	0.8815
YHR058C	YMR112C	0.8814
YGR215W	YKL155C	0.8811
YNL137C	YPL118W	0.8809
YBR167C	YBR257W	0.8809
YER172C	YKL173W	0.8806
YGL025C	YPR168W	0.8804
YMR213W	YPR101W	0.8804
YCR081W	YHR058C	0.8802
YBR257W	YIR015W	0.88
YNL137C	YPL013C	0.8797
YCR071C	YDR322W	0.8792
YKR006C	YKR085C	0.8792
YDR337W	YNL137C	0.8788
YJL063C	YKR085C	0.8784
YAL033W	YBL018C	0.8784
YHR058C	YPR168W	0.8781
YMR112C	YPR070W	0.8777
YDR337W	YGR215W	0.8777
YCR046C	YDR116C	0.8776
YGL151W	YHR058C	0.8771
YBR257W	YLR145W	0.877
YBR122C	YCR071C	0.8769
YBR193C	YMR112C	0.8768
YDR337W	YPL013C	0.8767
YDR116C	YNL005C	0.8764
YDR175C	YGR165W	0.8764
YCR046C	YKR085C	0.8762
YDR347W	YGR084C	0.876
YCR046C	YDR237W	0.8759
YBR122C	YNL252C	0.8759
YDR308C	YGL025C	0.8751
YGR084C	YMR188C	0.8747
YKL155C	YMR158W	0.8744
YDR337W	YGR084C	0.8744
YBR122C	YDR237W	0.8744
YGR165W	YPL013C	0.8742
YFR036W	YLR127C	0.874
YER172C	YHR165C	0.8739
YGL129C	YMR158W	0.8735
YJR101W	YNL137C	0.8733
YMR112C	YNR010W	0.873
YBR167C	YIR015W	0.8729
YHR059W	YIL093C	0.8729
YGR215W	YJR101W	0.8728
YBR146W	YBR251W	0.8724
YMR158W	YNR036C	0.8722
YHR058C	YNR010W	0.8722
YCR071C	YNL252C	0.8721
YDL209C	YMR213W	0.872
YJR101W	YPL013C	0.8718
YCR081W	YPR070W	0.8718
YBR251W	YGL129C	0.8717
YDR337W	YMR158W	0.8716
YGR215W	YNR036C	0.8716
YMR188C	YPL013C	0.8715
YDR337W	YGR165W	0.871
YBR122C	YDR116C	0.8707
YDR347W	YNL306W	0.8707
YNL236W	YPR070W	0.8706
YMR158W	YPL118W	0.8705
YDR175C	YNR036C	0.8705
YDR260C	YOR249C	0.8704
YCR081W	YDR308C	0.8703
YBL041W	YER094C	0.8702
YBL038W	YKR085C	0.8702
YDR041W	YGR165W	0.8698
YHR165C	YKL173W	0.8698
YIR015W	YLR145W	0.8696
YHR059W	YJR113C	0.8694
YDR175C	YNL137C	0.8693
YCR071C	YKL167C	0.8693
YDR347W	YNR036C	0.8692
YMR024W	YNL252C	0.8692
YBL090W	YGR084C	0.8691
YDR296W	YLR439W	0.8691
YPL151C	YPR101W	0.869
YBR193C	YHR058C	0.869
YCR071C	YDR237W	0.8689
YDR337W	YNR036C	0.8688
YNR010W	YPR168W	0.8687
YNL236W	YPR168W	0.8686
YMR158W	YPL013C	0.8684
YBR251W	YPL118W	0.8683
YBR251W	YDR041W	0.8676
YMR193W	YNL252C	0.8672
YIR025W	YLR127C	0.8668
YMR188C	YNR036C	0.8667
YDR296W	YNL005C	0.8665
YCR071C	YMR024W	0.8664
YGR034W	YMR194W	0.8663
YDR175C	YPL013C	0.8662
YNL137C	YOR158W	0.8662
YML049C	YMR288W	0.8658
YDR308C	YMR112C	0.8657
YDR322W	YKR085C	0.8657
YGR165W	YKL155C	0.8656
YHR148W	YLR129W	0.8654
YNL306W	YPL013C	0.8653
YDR116C	YML025C	0.8653
YBR193C	YNR010W	0.8653
