Inflation,Total Pairs,Leiden,Louvain,Label Propagation,SBM (Spectral proxy),Clique Percolation,Consensus,MCL (XGW baseline)
I=2.0,23943,77.01624691976778,75.32472956605271,94.19036879254897,99.57398822202731,77.52996700497013,77.4297289395648,28.05830514137744
I=3.0,10618,79.70427575814655,77.5852326238463,96.90148803917876,99.18063665473724,82.45432284799398,80.09041250706348,70.12620079110944
I=4.0,7617,78.92871209137455,76.6443481685703,96.73099645529736,98.85781803859788,83.03794144676382,79.83458054352107,100.0
I=5.0,6107,79.51531029965612,77.82872113967578,96.20108072703455,98.73915179302439,83.3961028328148,80.95627967905682,98.93564761748813
