Complex,Complex Size,Leiden Jaccard,Leiden N_shared,Leiden Best Comm Size,Louvain Jaccard,Louvain N_shared,Louvain Best Comm Size,Label Propagation Jaccard,Label Propagation N_shared,Label Propagation Best Comm Size,SBM (Spectral proxy) Jaccard,SBM (Spectral proxy) N_shared,SBM (Spectral proxy) Best Comm Size,Clique Percolation Jaccard,Clique Percolation N_shared,Clique Percolation Best Comm Size,Consensus Jaccard,Consensus N_shared,Consensus Best Comm Size,MCL (XGW baseline) Jaccard,MCL (XGW baseline) N_shared,MCL (XGW baseline) Best Comm Size
sulfite reductase complex (NADPH),2,0.0013,1,792,0.0012,1,809,0.0003,1,3840,0.0002,1,4540,0.0005,1,1869,0.0011,1,892,0.1,1,9
tRNA Methyltransferase Complex,2,0.0025,2,792,0.0025,2,809,0.0005,2,3840,0.0004,2,4540,0.0,0,0,0.0022,2,892,0.0,0,0
tRNA-intron endonuclease complex,4,0.0123,3,242,0.012,3,248,0.001,4,3840,0.0009,4,4540,1.0,4,4,0.0062,3,486,0.5,4,8
transcription export complex,3,0.011,2,180,0.0054,2,368,0.0008,3,3840,0.0007,3,4540,0.0011,2,1869,0.0049,2,408,0.1429,1,5
transcription factor TFIIA complex,2,0.0101,2,199,0.006,2,335,0.0005,2,3840,0.0004,2,4540,0.0011,2,1869,0.0041,2,483,0.5,2,4
transcription factor TFIID complex,15,0.0442,14,316,0.0417,14,335,0.0039,15,3840,0.0033,15,4540,0.0556,1,4,0.0311,15,483,0.4,6,6
transcription factor TFIIE complex,2,0.0063,2,316,0.0132,2,151,0.0005,2,3840,0.0004,2,4540,0.0011,2,1869,0.0041,2,483,0.2222,2,9
transcription factor TFIIF complex,3,0.0126,3,239,0.0199,3,151,0.0008,3,3840,0.0007,3,4540,0.0016,3,1869,0.0062,3,483,0.5,2,3
transcription factor TFIIH complex,10,0.0122,3,239,0.019,3,151,0.0026,10,3840,0.0022,10,4540,0.2727,3,4,0.0102,5,483,0.2727,3,4
transcription factor TFIIIB complex,3,0.0095,3,316,0.009,3,335,0.0008,3,3840,0.0007,3,4540,0.5,3,6,0.0062,3,483,0.3333,2,5
transcription factor TFIIIC complex,6,0.0158,5,316,0.0179,6,335,0.0016,6,3840,0.0013,6,4540,0.3333,3,6,0.0103,5,483,0.375,3,5
translation release factor complex,2,0.0063,2,318,0.0032,1,310,0.0005,2,3840,0.0004,2,4540,0.6667,2,3,0.005,2,399,0.0,0,0
ubiquitin conjugating enzyme complex,2,0.0042,1,239,0.0066,1,151,0.0005,2,3840,0.0004,2,4540,0.6667,2,3,0.0021,1,483,0.25,1,3
ubiquitin ligase ERAD-L complex,5,0.0049,1,199,0.0074,1,132,0.0051,2,389,0.0009,4,4540,0.2857,2,4,0.0043,2,462,0.3333,2,3
ubiquitin ligase ERAD-M complex,2,0.0044,2,451,0.0041,2,487,0.0051,2,389,0.0004,2,4540,0.5,2,4,0.0043,2,462,0.6667,2,3
zeta DNA polymerase complex,2,0.0075,2,265,0.0163,2,123,0.0005,2,3840,0.0004,2,4540,0.25,1,3,0.0041,2,486,0.1667,1,5
