Complex,Complex Size,Leiden Jaccard,Leiden N_shared,Leiden Best Comm Size,Louvain Jaccard,Louvain N_shared,Louvain Best Comm Size,Label Propagation Jaccard,Label Propagation N_shared,Label Propagation Best Comm Size,SBM (Spectral proxy) Jaccard,SBM (Spectral proxy) N_shared,SBM (Spectral proxy) Best Comm Size,Clique Percolation Jaccard,Clique Percolation N_shared,Clique Percolation Best Comm Size,Consensus Jaccard,Consensus N_shared,Consensus Best Comm Size,MCL (XGW baseline) Jaccard,MCL (XGW baseline) N_shared,MCL (XGW baseline) Best Comm Size
Uba2p/Aos1p complex,2,0.0075,2,265,0.0163,2,123,0.0005,2,3840,0.0004,2,4540,0.0011,2,1869,0.0041,2,486,0.4,2,5
Ubp3p/Bre5p complex,2,0.0055,1,180,0.0152,2,132,0.0005,2,3840,0.0004,2,4540,0.0005,1,1869,0.0021,1,477,0.1667,1,5
Ula1p/Uba3p complex,2,0.0083,2,242,0.0069,2,289,0.0005,2,3840,0.0004,2,4540,0.0,0,0,0.0041,2,486,0.0,0,0
Ume6p/Ime1p complex,2,0.0123,2,163,0.0054,2,368,0.0005,2,3840,0.0004,2,4540,0.5,2,4,0.0049,2,408,0.0,0,0
VTC heterotetrameric complex,4,0.0037,1,265,0.0034,1,289,0.0051,2,389,0.0004,2,4540,0.0005,1,1869,0.0022,1,462,0.0323,1,28
Vam3p/Vam7 vacuolar tSNARE complex,2,0.0084,2,238,0.0058,2,345,0.0005,2,3840,0.0004,2,4540,0.0011,2,1869,0.0042,2,477,0.0,0,0
acetolactate synthase complex,2,0.005,1,199,0.0075,1,132,0.0005,2,3840,0.0004,2,4540,0.0005,1,1869,0.0021,1,477,0.0833,1,11
adenylyl cyclase complex,2,0.0025,2,792,0.0029,1,345,0.0005,2,3840,0.0004,2,4540,0.1667,1,5,0.0022,2,892,0.0833,1,11
adoMet-dependent tRNA methyltransferase (Mtase) Complex,2,0.0075,2,265,0.0163,2,123,0.0005,2,3840,0.0004,2,4540,0.0,0,0,0.0041,2,486,0.0,0,0
alpha DNA polymerase:primase complex,4,0.0151,4,265,0.0325,4,123,0.001,4,3840,0.0009,4,4540,0.1667,1,3,0.0082,4,486,0.0,0,0
anaphase-promoting complex,15,0.6316,12,16,0.75,12,13,0.625,10,11,0.0033,15,4540,0.0588,1,3,0.75,12,13,0.7333,11,11
anthranilate synthase complex,2,0.0025,2,792,0.0025,2,809,0.0005,2,3840,0.0004,2,4540,0.0,0,0,0.0022,2,892,0.0,0,0
box C/D snoRNP complex,4,0.0094,3,318,0.0096,3,312,0.001,4,3840,0.0009,4,4540,0.0021,4,1869,0.0075,3,399,0.3333,2,4
cAMP-dependent protein kinase,4,0.0041,1,238,0.0049,4,809,0.001,4,3840,0.0009,4,4540,0.0021,4,1869,0.0045,4,892,0.75,3,3
calcineurin complex,3,0.0075,2,265,0.004,1,248,0.0008,3,3840,0.0007,3,4540,0.2,1,3,0.0029,1,340,0.2,1,3
carbamoyl-phosphate synthase complex,2,0.0031,1,318,0.0027,1,368,0.0005,2,3840,0.0004,2,4540,0.0011,2,1869,0.0025,1,399,0.2,1,4
carboxy-terminal domain protein kinase complex,3,0.0063,2,318,0.0064,2,312,0.0008,3,3840,0.0007,3,4540,0.0016,3,1869,0.005,2,399,1.0,3,3
chaperonin-containing T-complex,8,0.0101,8,792,0.0099,8,809,0.0021,8,3840,0.0018,8,4540,0.1,1,3,0.009,8,892,0.2222,2,3
chromatin accessibility complex,4,0.0183,3,163,0.0134,2,147,0.0008,3,3840,0.0009,4,4540,0.0016,3,1869,0.0043,3,690,0.2222,2,7
chromatin assembly complex,3,0.0043,2,467,0.0189,1,51,0.0008,3,3840,0.0007,3,4540,1.0,3,3,0.0029,2,690,0.4,2,4
chromatin silencing complex,3,0.0061,1,163,0.0067,1,147,0.0008,3,3840,0.0007,3,4540,0.2,1,3,0.0022,2,892,0.1667,1,4
cohesin loading factor complex,2,0.0043,2,467,0.0044,2,451,0.0005,2,3840,0.0004,2,4540,0.0011,2,1869,0.0029,2,690,0.4,2,5
commitment complex,21,0.0654,21,321,0.0677,21,310,0.0055,21,3840,0.0046,21,4540,0.0435,1,3,0.0618,21,340,0.24,6,10
cytoplasmic dynein complex,4,0.0025,2,792,0.0025,2,809,0.1,1,7,0.0009,4,4540,0.0011,2,1869,0.0022,2,892,0.1667,1,3
cytoplasmic ribosomal large subunit,81,0.0235,6,180,0.0193,7,289,0.0238,2,5,0.012,1,3,0.061,5,6,0.0164,9,477,0.061,5,6
cytoplasmic ribosomal small subunit,57,0.0161,6,321,0.0166,6,310,0.0169,1,3,0.0169,1,3,0.0164,1,5,0.0153,6,340,0.0484,3,8
degradosome,2,0.0164,1,60,0.0208,1,47,0.0005,2,3840,0.0004,2,4540,0.0,0,0,0.0025,1,399,0.0,0,0
dynactin complex,4,0.0085,3,353,0.0081,3,368,0.001,4,3840,0.0009,4,4540,0.6,3,4,0.0073,3,408,0.0,0,0
eEF1,5,0.0063,5,792,0.0062,5,809,0.0013,5,3840,0.0011,5,4540,0.125,1,4,0.0056,5,892,0.0526,1,15
eIF1/eIF1A/40S complex,2,0.0164,1,60,0.0208,1,47,0.0005,2,3840,0.0004,2,4540,0.0005,1,1869,0.0025,1,399,0.0,0,0
eIF2,3,0.0031,1,318,0.0037,3,809,0.0008,3,3840,0.0007,3,4540,0.0016,3,1869,0.0034,3,892,0.0909,1,9
eIF2B,5,0.0063,5,792,0.0062,5,809,0.0013,5,3840,0.0011,5,4540,0.1429,1,3,0.0056,5,892,0.4,4,9
eIF3,7,0.0188,6,318,0.0192,6,312,0.0018,7,3840,0.0015,7,4540,0.1,1,4,0.015,6,399,0.5556,5,7
eIF4F,3,0.0031,1,318,0.0032,1,312,0.0008,3,3840,0.0007,3,4540,0.0909,1,9,0.0025,1,399,0.2,1,3
fatty acid synthase complex,2,0.0032,1,316,0.003,1,335,0.0005,2,3840,0.0004,2,4540,0.0005,1,1869,0.0021,1,483,0.0,0,0
gamma-tubulin complex,3,0.0064,3,467,0.0067,3,451,0.0008,3,3840,0.0007,3,4540,0.4286,3,7,0.0043,3,690,0.3333,2,5
glycine cleavage complex,4,0.0013,1,792,0.0012,1,809,0.0003,1,3840,0.0002,1,4540,0.0005,1,1869,0.0011,1,892,0.0,0,0
glycosylphosphatidylinositol-N-acetylglucosaminyltransferase (GPI-GnT) complex,6,0.0066,3,451,0.0061,3,487,0.0077,3,389,0.0009,4,4540,0.0005,1,1869,0.0065,3,462,0.0833,1,7
guanyl-nucleotide exchange factor complex,2,0.0084,2,238,0.0058,2,345,0.0005,2,3840,0.0004,2,4540,0.6667,2,3,0.0042,2,477,0.2857,2,7
heterodimeric G-protein complex,2,0.0164,1,60,0.004,1,248,0.0005,2,3840,0.0004,2,4540,0.5,2,4,0.0021,1,486,0.6667,2,3
heterotrimeric G-protein complex,3,0.0161,1,60,0.004,1,248,0.0008,3,3840,0.0007,3,4540,0.4,2,4,0.002,1,486,0.5,2,3
histone H2A phosphatase complex,3,0.0083,2,239,0.0064,2,312,0.0008,3,3840,0.0007,3,4540,0.0016,3,1869,0.005,2,399,0.75,3,4
histone deacetylase complex,3,0.0064,3,467,0.0067,3,451,0.0008,3,3840,0.0007,3,4540,0.75,3,4,0.0043,3,690,0.2,1,3
i-AAA complex,2,0.0028,1,353,0.0027,1,368,0.0003,1,3840,0.0002,1,4540,0.0,0,0,0.0024,1,408,0.0,0,0
karyopherin docking subcomplex of the Nuclear Pore Complex (NPC),3,0.0044,2,451,0.0054,2,368,0.0008,3,3840,0.0007,3,4540,0.5,2,3,0.0049,2,408,0.25,2,7
luminal surveillance complex,3,0.0022,1,451,0.002,1,487,0.0026,1,389,0.0004,2,4540,0.1667,1,4,0.0022,1,462,0.2,1,3
m-AAA complex,2,0.0042,1,238,0.0029,1,345,0.2,1,4,0.0004,2,4540,0.6667,2,3,0.0021,1,477,0.6667,2,3
mRNA cleavage and polyadenylation specificity factor complex,15,0.25,15,60,0.2917,14,47,0.0039,15,3840,0.0033,15,4540,0.0455,1,8,0.035,14,399,0.6316,12,16
mRNA cleavage factor complex (CFI),5,0.0656,4,60,0.0833,4,47,0.0013,5,3840,0.0011,5,4540,0.0027,5,1869,0.01,4,399,0.0,0,0
mRNA guanylyl transferase (capping complex),2,0.0042,1,239,0.0064,2,312,0.0005,2,3840,0.0004,2,4540,0.0011,2,1869,0.005,2,399,0.1,1,9
meiotic recombination initiation complex,3,0.0064,3,467,0.0067,3,451,0.0008,3,3840,0.0007,3,4540,0.0,0,0,0.0043,3,690,0.0,0,0
methionyl glutamyl tRNA synthetase complex,3,0.0031,1,316,0.0027,1,368,0.0008,3,3840,0.0007,3,4540,0.0011,2,1869,0.0024,1,408,0.2222,2,8
mitochondrial ATPase inhibitor complex,3,0.0021,1,467,0.0022,1,451,0.0003,1,3840,0.0002,1,4540,0.0005,1,1869,0.0014,1,690,0.05,1,18
mitochondrial inner membrane peptidase complex,3,0.0055,1,180,0.0032,1,310,0.0026,1,389,0.0004,2,4540,0.0,0,0,0.0029,1,340,0.0,0,0
mitochondrial inner membrane presequence translocase complex,6,0.12,3,22,0.0137,4,289,0.0833,1,7,0.0011,5,4540,0.2857,2,3,0.0082,4,486,0.2222,2,5
mitochondrial inner membrane protein insertion complex,4,0.1818,4,22,0.0138,4,289,1.0,4,4,0.0009,4,4540,0.8,4,5,0.0082,4,486,1.0,4,4
mitochondrial intermembrane space protein transporter complex,2,0.0909,2,22,0.0069,2,289,0.0005,2,3840,0.0004,2,4540,0.5,2,4,0.0041,2,486,0.0,0,0
mitochondrial outer membrane translocase complex,7,0.0588,1,11,0.0119,3,248,0.2727,3,7,0.0769,1,7,0.0769,1,7,0.0097,4,408,0.375,3,4
mitochondrial oxoglutarate dehydrogenase complex,3,0.0038,3,792,0.0037,3,809,0.0008,3,3840,0.0007,3,4540,0.0016,3,1869,0.0034,3,892,0.5,2,3
mitochondrial processing peptidase complex,2,0.0028,1,353,0.0054,2,368,0.0005,2,3840,0.0004,2,4540,0.5,2,4,0.0024,1,408,0.6667,2,3
mitochondrial pyruvate dehydrogenase complex,7,0.005,4,792,0.0062,5,809,0.0018,7,3840,0.0015,7,4540,0.1111,1,3,0.0056,5,892,0.25,2,3
mitochondrial ribosomal large subunit,44,0.0863,29,321,0.0859,28,310,0.0185,1,11,0.02,1,7,0.2,9,10,0.0817,29,340,0.2045,9,9
mitochondrial ribosomal small subunit,32,0.5106,24,39,0.3026,23,67,0.4878,20,29,0.4773,21,33,0.5278,19,23,0.5227,23,35,0.5714,20,23
